,PLAYER,,Real Salary,Year
488,Trendon Watford,"$768,830","$838,484",2022
489,Patrick Patterson,"$737,067","$803,843",2022
490,Devontae Cacok,"$726,128","$791,913",2022
491,Admiral Schofield,"$723,741","$789,309",2022
492,Ishmail Wainright,"$707,893","$772,025",2022
493,Shaun Livingston,"$666,666","$727,064",2022
494,Malik Fitts,"$630,874","$688,028",2022
495,Sam Hauser,"$619,498","$675,623",2022
496,Greg Monroe,"$612,805","$668,323",2022
497,Amir Coffey,"$573,576","$625,540",2022
498,Joe Wieskamp,"$563,663","$614,729",2022
499,Keifer Sykes,"$558,345","$608,929",2022
500,Haywood Highsmith,"$547,701","$597,321",2022
501,Nik Stauskas,"$534,993","$583,461",2022
502,Davon Reed,"$532,398","$580,631",2022
503,Wenyen Gabriel,"$522,015","$569,306",2022
504,Skylar Mays,"$510,907","$557,193",2022
505,Georgios Kalaitzakis,"$499,852","$545,137",2022
506,RJ Nembhard,"$491,876","$536,438",2022
507,Chris Silva,"$479,650","$523,105",2022
508,Trent Forrest,"$463,211","$505,176",2022
508,Kessler Edwards,"$463,211","$505,176",2022
510,Cassius Winston,"$462,629","$504,542",2022
510,Joel Ayayi,"$462,629","$504,542",2022
510,Justin Champagnie,"$462,629","$504,542",2022
510,David Johnson,"$462,629","$504,542",2022
510,Neemias Queta,"$462,629","$504,542",2022
510,Keljin Blevins,"$462,629","$504,542",2022
510,Ignas Brazdeikis,"$462,629","$504,542",2022
510,Jericho Sims,"$462,629","$504,542",2022
510,Nathan Knight,"$462,629","$504,542",2022
510,McKinley Wright,"$462,629","$504,542",2022
510,Sandro Mamukelashvili,"$462,629","$504,542",2022
510,Yves Pons,"$462,629","$504,542",2022
510,Jay Scrubb,"$462,629","$504,542",2022
510,Chris Chiozza,"$462,629","$504,542",2022
510,Sean Chris Smith,"$462,629","$504,542",2022
510,Jamorko Pickett,"$462,629","$504,542",2022
510,Markus Howard,"$462,629","$504,542",2022
510,Tyler Cook,"$462,629","$504,542",2022
510,Arnoldas Kulboka,"$462,629","$504,542",2022
510,Scottie Lewis,"$462,629","$504,542",2022
510,David Duke,"$462,629","$504,542",2022
510,Brodric Thomas,"$462,629","$504,542",2022
510,Sharife Cooper,"$462,629","$504,542",2022
533,Justin Anderson,"$445,828","$486,218",2022
534,Theo Pinson,"$440,710","$480,637",2022
535,Charlie Brown,"$431,151","$470,212",2022
536,Tim Frazier,"$386,127","$421,108",2022
536,James Ennis,"$386,127","$421,107",2022
536,Langston Galloway,"$386,127","$421,108",2022
539,Kyle Guy,"$383,079","$417,785",2022
540,Sam Dekker,"$350,000","$381,709",2022
541,Quinndary Weatherspoon,"$346,491","$377,882",2022
542,Brandon Goodwin,"$343,988","$375,152",2022
543,Malcolm Hill,"$324,373","$353,759",2022
544,Louis King,"$316,396","$345,060",2022
545,DJ Wilson,"$308,493","$336,441",2022
545,Shaquille Harrison,"$308,493","$336,441",2022
545,Justin Jackson,"$308,493","$336,441",2022
548,Jeff Dowtin,"$305,761","$333,460",2022
549,Paul Watson,"$303,102","$330,562",2022
549,Trevelin Queen,"$303,102","$330,562",2022
551,Myles Powell,"$300,443","$327,662",2022
552,Jontay Porter,"$300,000","$327,179",2022
553,Mason Jones,"$295,125","$321,862",2022
554,Eugene Omoruyi,"$281,831","$307,364",2022
555,Brandon Knight,"$274,672","$299,556",2022
556,Justin Robinson,"$265,953","$290,047",2022
557,Ja'Vonte Smart,"$265,878","$289,965",2022
558,Mychal Mulder,"$257,902","$281,266",2022
559,Tyler Johnson,"$257,418","$280,738",2022
560,Zylan Cheatham,"$256,734","$279,993",2022
560,Cassius Stanley,"$256,734","$279,993",2022
562,Devon Dotson,"$239,291","$260,970",2022
563,Marcus Garrett,"$236,632","$258,070",2022
564,Lindell Wigginton,"$233,973","$255,170",2022
565,Jay Huff,"$225,997","$246,471",2022
566,Olivier Sarr,"$223,339","$243,572",2022
567,Aaron Henry,"$223,338","$243,571",2022
568,Freddie Gillespie,"$221,156","$241,191",2022
569,JaQuori McLaughlin,"$220,679","$240,671",2022
570,Rayjon Tucker,"$220,639","$240,628",2022
571,Petr Cornelie,"$218,021","$237,773",2022
571,Tacko Fall,"$218,021","$237,773",2022
573,Juwan Morgan,"$211,046","$230,166",2022
574,Damyean Dotson,"$205,662","$224,294",2022
575,Xavier Moon,"$202,069","$220,375",2022
576,Tyrone Wallace,"$198,760","$216,767",2022
577,Tremont Waters,"$191,860","$209,242",2022
577,Jaylen Hoard,"$191,860","$209,242",2022
577,Norvel Pelle,"$191,860","$209,242",2022
580,Reggie Perry,"$188,272","$205,328",2022
581,Devin Cannady,"$185,578","$202,390",2022
582,Brandon Williams,"$180,798","$197,177",2022
583,DeJon Jarreau,"$172,821","$188,477",2022
583,Moses Wright,"$172,821","$188,477",2022
585,Matt Mooney,"$171,156","$186,662",2022
585,Dakota Mathias,"$171,156","$186,662",2022
587,Daulton Hommes,"$167,504","$182,679",2022
588,Grant Riller,"$162,186","$176,879",2022
589,Lindy Waters III,"$159,527","$173,979",2022
590,Anthony Tolliver,"$151,821","$165,575",2022
590,Darren Collison,"$151,821","$165,575",2022
590,Ersan Ilyasova,"$151,821","$165,575",2022
590,Joe Johnson,"$151,821","$165,575",2022
590,CJ Miles,"$151,821","$165,575",2022
595,Chaundee Brown,"$151,552","$165,281",2022
596,Xavier Sneed,"$146,233","$159,481",2022
597,Mario Chalmers,"$138,019","$150,523",2022
598,Anthony Lamb,"$136,095","$148,424",2022
599,Braxton Key,"$127,622","$139,183",2022
600,Troy Williams,"$122,741","$133,861",2022
601,Feron Hunt,"$116,987","$127,585",2022
602,Mac McClung,"$111,670","$121,786",2022
603,Matt Ryan,"$111,669","$121,785",2022
604,Emmanuel Mudiay,"$111,457","$121,554",2022
605,Paris Bass,"$106,352","$115,987",2022
605,Hassani Gravett,"$106,352","$115,987",2022
605,Carlik Jones,"$106,352","$115,986",2022
608,Cheick Diallo,"$102,831","$112,147",2022
608,Jordan Bell,"$102,831","$112,147",2022
610,DJ Stewart,"$101,034","$110,187",2022
611,Nate Hinton,"$96,213","$104,929",2022
612,Jaylen Morris,"$95,930","$104,621",2022
612,BJ Johnson,"$95,930","$104,621",2022
612,Scotty Hopson,"$95,930","$104,621",2022
612,Justin James,"$95,930","$104,621",2022
612,DaQuan Jeffries,"$95,930","$104,621",2022
612,Derrick Walton,"$95,930","$104,621",2022
618,Demetrius Jackson,"$92,857","$101,269",2022
619,Emanuel Terry,"$85,578","$93,331",2022
619,Jemerrio Jones,"$85,578","$93,331",2022
619,George King,"$85,578","$93,331",2022
619,Malik Newman,"$85,578","$93,331",2022
619,Chris Clemons,"$85,578","$93,331",2022
619,Cameron Oliver,"$85,578","$93,331",2022
625,Jared Harper,"$85,081","$92,789",2022
626,Gabriel Lundberg,"$79,764","$86,990",2022
627,Jaime Echenique,"$53,176","$57,993",2022
627,Craig Sword,"$53,176","$57,993",2022
627,Jordan Goodwin,"$53,176","$57,993",2022
627,Jordan Schakel,"$53,176","$57,993",2022
627,Ade Murkey,"$53,176","$57,993",2022
627,Jarron Cumberland,"$53,176","$57,993",2022
627,Cameron McGriff,"$53,176","$57,993",2022
627,MJ Walker,"$53,176","$57,993",2022
627,Aleem Ford,"$53,176","$57,993",2022
627,Rob Edwards,"$53,176","$57,993",2022
627,Tyler Hall,"$53,176","$57,993",2022
627,Javin DeLaurier,"$53,176","$57,993",2022
627,Aric Holman,"$53,176","$57,993",2022
627,Jon Teske,"$53,176","$57,993",2022
627,Shaq Buchanan,"$53,176","$57,993",2022
627,Ahmad Caver,"$53,176","$57,993",2022
627,Jaysean Paige,"$53,176","$57,993",2022
627,Micah Potter,"$53,176","$57,993",2022
627,Trayvon Palmer,"$53,176","$57,993",2022
627,Tre Scott,"$53,176","$57,993",2022
627,Justin Tillman,"$53,176","$57,993",2022
627,Malik Ellison,"$53,176","$57,993",2022
627,Anthony Barber,"$53,176","$57,993",2022
650,Luca Vildoza,"$42,789","$46,665",2022
651,Zavier Simpson,"$37,223","$40,595",2022
652,Mfiondu Kabengele,"$19,186","$20,924",2022
653,Melvin Frazier,"$13,294","$14,498",2022
654,Stephen Curry,"$43,006,362","$49,431,367",2021
655,Russell Westbrook,"$41,358,814","$47,537,680",2021
656,Chris Paul,"$41,358,814","$47,537,680",2021
657,John Wall,"$41,254,920","$47,418,265",2021
658,James Harden,"$41,254,920","$47,418,265",2021
659,Kevin Durant,"$40,108,950","$46,101,091",2021
660,LeBron James,"$39,219,566","$45,078,836",2021
661,Paul George,"$35,450,412","$40,746,583",2021
662,Klay Thompson,"$35,361,360","$40,644,227",2021
663,Mike Conley,"$34,502,132","$39,656,633",2021
664,Jimmy Butler,"$34,379,100","$39,515,221",2021
665,Kawhi Leonard,"$34,379,100","$39,515,221",2021
666,Kemba Walker,"$34,379,100","$39,515,221",2021
667,Tobias Harris,"$34,358,850","$39,491,945",2021
668,Blake Griffin,"$33,900,241","$38,964,821",2021
669,Kyrie Irving,"$33,722,850","$38,760,929",2021
670,Khris Middleton,"$33,051,724","$37,989,539",2021
671,Anthony Davis,"$32,742,000","$37,633,544",2021
672,Damian Lillard,"$31,626,953","$36,351,912",2021
673,Kevin Love,"$31,258,256","$35,928,133",2021
674,Pascal Siakam,"$30,559,200","$35,124,641",2021
675,Ben Simmons,"$30,559,200","$35,124,641",2021
676,Kyle Lowry,"$30,500,000","$35,056,596",2021
677,Steven Adams,"$29,592,695","$34,013,743",2021
678,Joel Embiid,"$29,542,010","$33,955,486",2021
679,Andrew Wiggins,"$29,542,010","$33,955,486",2021
680,Nikola Jokic,"$29,542,010","$33,955,486",2021
681,Devin Booker,"$29,467,800","$33,870,189",2021
682,Karl-Anthony Towns,"$29,467,800","$33,870,189",2021
683,Kristaps Porzingis,"$29,467,800","$33,870,189",2021
684,CJ McCollum,"$29,354,152","$33,739,563",2021
685,Bradley Beal,"$28,751,774","$33,047,191",2021
686,Andre Drummond,"$28,751,774","$33,047,190",2021
687,D'Angelo Russell,"$28,649,250","$32,929,351",2021
688,Gordon Hayward,"$28,500,000","$32,757,803",2021
689,Otto Porter,"$28,489,239","$32,745,434",2021
690,DeMar DeRozan,"$27,739,975","$31,884,233",2021
691,Giannis Antetokounmpo,"$27,528,088","$31,640,691",2021
692,Rudy Gobert,"$27,525,281","$31,637,464",2021
693,Al Horford,"$27,500,000","$31,608,407",2021
694,Brandon Ingram,"$27,285,000","$31,361,286",2021
695,Jamal Murray,"$27,285,000","$31,361,286",2021
696,Jrue Holiday,"$27,026,011","$31,063,605",2021
697,Nikola Vucevic,"$26,000,000","$29,884,312",2021
698,Jaylen Brown,"$25,035,118","$28,775,279",2021
699,Buddy Hield,"$24,931,817","$28,656,546",2021
700,Draymond Green,"$22,246,956","$25,570,575",2021
701,Harrison Barnes,"$22,215,909","$25,534,890",2021
702,Fred VanVleet,"$21,250,000","$24,424,678",2021
703,Victor Oladipo,"$21,000,000","$24,137,328",2021
704,Malcolm Brogdon,"$20,700,000","$23,792,509",2021
705,Julius Randle,"$19,845,000","$22,809,775",2021
706,Domantas Sabonis,"$19,800,000","$22,758,053",2021
707,Gary Harris,"$19,610,714","$22,540,488",2021
708,Zach LaVine,"$19,500,000","$22,413,234",2021
709,Danilo Gallinari,"$19,500,000","$22,413,234",2021
710,Jerami Grant,"$19,050,000","$21,896,005",2021
711,Tim Hardaway Jr,"$18,975,000","$21,809,800",2021
712,Terry Rozier,"$18,900,000","$21,723,596",2021
713,Aaron Gordon,"$18,136,364","$20,845,875",2021
714,Goran Dragic,"$18,000,000","$20,689,139",2021
715,Myles Turner,"$18,000,000","$20,689,139",2021
716,Bogdan Bogdanovic,"$18,000,000","$20,689,139",2021
717,Clint Capela,"$18,000,000","$20,689,139",2021
718,Bojan Bogdanovic,"$17,850,000","$20,516,729",2021
719,LaMarcus Aldridge,"$17,628,340","$20,261,954",2021
720,Gorgui Dieng,"$17,587,688","$20,215,228",2021
721,Evan Fournier,"$17,150,000","$19,712,152",2021
722,Ricky Rubio,"$17,000,000","$19,539,742",2021
723,Eric Bledsoe,"$16,875,000","$19,396,067",2021
724,Eric Gordon,"$16,869,267","$19,389,478",2021
725,Caris LeVert,"$16,203,704","$18,624,482",2021
726,Joe Harris,"$16,071,429","$18,472,446",2021
727,James Johnson,"$16,047,100","$18,444,482",2021
728,Dennis Schroeder,"$15,500,000","$17,815,647",2021
729,Cody Zeller,"$15,415,730","$17,718,787",2021
730,Danny Green,"$15,365,853","$17,661,459",2021
731,Davis Bertans,"$15,000,000","$17,240,949",2021
732,Andre Iguodala,"$15,000,000","$17,240,949",2021
733,Jonas Valanciunas,"$15,000,000","$17,240,949",2021
734,Marcus Morris,"$14,883,721","$17,107,298",2021
735,Rudy Gay,"$14,500,000","$16,666,250",2021
736,Kelly Oubre,"$14,375,000","$16,522,576",2021
737,Dejounte Murray,"$14,286,000","$16,420,280",2021
738,Will Barton,"$13,723,214","$15,773,415",2021
739,Thaddeus Young,"$13,545,000","$15,568,577",2021
740,Patrick Mills,"$13,535,714","$15,557,903",2021
741,Terrence Ross,"$13,500,000","$15,516,854",2021
742,Malik Beasley,"$13,425,895","$15,431,678",2021
743,Patrick Beverley,"$13,333,333","$15,325,287",2021
744,Christian Wood,"$13,015,874","$14,960,401",2021
745,JJ Redick,"$13,013,700","$14,957,902",2021
746,Justise Winslow,"$13,000,000","$14,942,156",2021
747,Marcus Smart,"$12,946,428","$14,880,580",2021
748,Jusuf Nurkic,"$12,888,889","$14,814,445",2021
749,Kelly Olynyk,"$12,819,650","$14,734,862",2021
750,Trevor Ariza,"$12,800,000","$14,712,276",2021
751,Brook Lopez,"$12,697,675","$14,594,664",2021
752,Dion Waiters,"$12,650,000","$14,539,867",2021
753,Cory Joseph,"$12,600,000","$14,482,397",2021
754,Markelle Fultz,"$12,288,697","$14,124,586",2021
755,Taurean Prince,"$12,250,000","$14,080,108",2021
756,Tony Snell,"$12,178,571","$13,998,008",2021
757,Robert Covington,"$12,138,345","$13,951,772",2021
758,Kentavious Caldwell-Pope,"$12,073,020","$13,876,688",2021
759,TJ Warren,"$12,000,000","$13,792,759",2021
760,Larry Nance Jr,"$11,709,091","$13,458,389",2021
761,Nicolas Batum,"$11,608,231","$13,342,461",2021
762,Jordan Clarkson,"$11,500,000","$13,218,061",2021
763,Spencer Dinwiddie,"$11,454,048","$13,165,244",2021
764,Dillon Brooks,"$11,400,000","$13,103,121",2021
765,Dwight Powell,"$11,080,125","$12,735,458",2021
766,Lonzo Ball,"$11,003,782","$12,647,709",2021
767,Norman Powell,"$10,865,952","$12,489,288",2021
768,Josh Richardson,"$10,865,952","$12,489,288",2021
769,Jeremy Lamb,"$10,500,000","$12,068,664",2021
770,DeAndre Jordan,"$10,375,678","$11,925,769",2021
771,Joe Ingles,"$10,363,637","$11,911,929",2021
772,Zion Williamson,"$10,245,480","$11,776,120",2021
773,Paul Millsap,"$10,100,000","$11,608,905",2021
774,Rodney Hood,"$10,047,450","$11,548,505",2021
775,Deandre Ayton,"$10,018,200","$11,514,885",2021
776,Tomas Satoransky,"$10,000,000","$11,493,966",2021
777,Jayson Tatum,"$9,897,120","$11,375,716",2021
778,Anthony Edwards,"$9,757,440","$11,215,168",2021
779,Al-Farouq Aminu,"$9,720,900","$11,173,169",2021
780,Dante Exum,"$9,600,000","$11,034,207",2021
781,George Hill,"$9,590,602","$11,023,405",2021
782,De'Anthony Melton,"$9,571,712","$11,001,693",2021
783,Kyle Anderson,"$9,505,100","$10,925,129",2021
784,Meyers Leonard,"$9,400,000","$10,804,328",2021
785,Derrick Favors,"$9,258,000","$10,641,113",2021
786,Derrick Jones,"$9,258,000","$10,641,113",2021
787,Jae Crowder,"$9,258,000","$10,641,113",2021
788,Montrezl Harrell,"$9,258,000","$10,641,113",2021
789,Serge Ibaka,"$9,258,000","$10,641,113",2021
790,Tristan Thompson,"$9,258,000","$10,641,113",2021
791,Dario Saric,"$9,250,000","$10,631,918",2021
792,Ja Morant,"$9,166,800","$10,536,288",2021
793,Delon Wright,"$9,000,000","$10,344,569",2021
794,Marvin Bagley,"$8,963,640","$10,302,777",2021
795,Cedi Osman,"$8,840,580","$10,161,332",2021
796,Tyus Jones,"$8,817,143","$10,134,394",2021
797,James Wiseman,"$8,730,240","$10,034,508",2021
798,Royce O'Neale,"$8,500,000","$9,769,871",2021
799,Maxi Kleber,"$8,475,000","$9,741,136",2021
800,Thomas Bryant,"$8,333,333","$9,578,304",2021
801,RJ Barrett,"$8,231,760","$9,461,557",2021
802,Jakob Poeltl,"$8,101,852","$9,312,241",2021
803,De'Aaron Fox,"$8,099,627","$9,309,683",2021
804,Luka Doncic,"$8,049,360","$9,251,907",2021
805,Mason Plumlee,"$8,000,000","$9,195,172",2021
806,Louis Williams,"$8,000,000","$9,195,172",2021
807,PJ Tucker,"$7,969,537","$9,160,158",2021
808,LaMelo Ball,"$7,839,960","$9,011,223",2021
809,Seth Curry,"$7,834,449","$9,004,889",2021
810,Derrick Rose,"$7,682,926","$8,830,729",2021
811,Cristiano Felicio,"$7,529,020","$8,653,830",2021
812,Rajon Rondo,"$7,500,000","$8,620,474",2021
813,De'Andre Hunter,"$7,422,000","$8,530,821",2021
814,Jonathan Isaac,"$7,362,565","$8,462,507",2021
815,Doug McDermott,"$7,333,333","$8,428,908",2021
816,Robin Lopez,"$7,300,000","$8,390,595",2021
817,Jaren Jackson Jr,"$7,257,360","$8,341,585",2021
818,JaMychal Green,"$7,199,760","$8,275,379",2021
819,Nemanja Bjelica,"$7,150,000","$8,218,185",2021
820,Patrick Williams,"$7,068,360","$8,124,349",2021
821,Aron Baynes,"$7,000,000","$8,045,776",2021
822,Darius Miller,"$7,000,000","$8,045,776",2021
823,Ivica Zubac,"$7,000,000","$8,045,776",2021
824,Jabari Parker,"$6,930,729","$7,966,156",2021
825,Lauri Markkanen,"$6,731,508","$7,737,172",2021
826,Darius Garland,"$6,720,720","$7,724,772",2021
827,DJ Augustin,"$6,666,667","$7,662,644",2021
828,Trae Young,"$6,571,800","$7,553,604",2021
829,Chris Boucher,"$6,500,000","$7,471,078",2021
830,Juan Hernangomez,"$6,493,000","$7,463,032",2021
831,Joakim Noah,"$6,431,666","$7,392,535",2021
832,Isaac Okoro,"$6,400,920","$7,357,195",2021
833,Frank Ntilikina,"$6,176,578","$7,099,337",2021
834,DeMarre Carroll,"$6,119,676","$7,033,934",2021
835,Jarrett Culver,"$6,104,280","$7,016,238",2021
836,Ishmael Smith,"$6,000,000","$6,896,379",2021
837,Alec Burks,"$6,000,000","$6,896,379",2021
838,Mo Bamba,"$5,969,040","$6,860,794",2021
839,Onyeka Okongwu,"$5,813,640","$6,682,178",2021
840,Justin Holiday,"$5,720,400","$6,575,008",2021
841,Dennis Smith,"$5,686,677","$6,536,247",2021
842,Avery Bradley,"$5,635,000","$6,476,849",2021
843,Timofey Mozgov,"$5,573,333","$6,405,970",2021
844,Coby White,"$5,572,680","$6,405,219",2021
845,Trey Lyles,"$5,500,000","$6,321,681",2021
846,Wendell Carter,"$5,448,840","$6,262,878",2021
847,Zach Collins,"$5,406,255","$6,213,931",2021
848,Malik Monk,"$5,345,687","$6,144,314",2021
849,Killian Hayes,"$5,307,120","$6,099,985",2021
850,Luke Kennard,"$5,273,826","$6,061,717",2021
851,Ryan Anderson,"$5,214,583","$5,993,624",2021
852,Donovan Mitchell,"$5,195,501","$5,971,691",2021
853,Rodney McGruder,"$5,192,307","$5,968,020",2021
854,Bam Adebayo,"$5,115,492","$5,879,729",2021
855,Justin Jackson,"$5,109,637","$5,872,998",2021
856,Jaxson Hayes,"$5,105,160","$5,867,853",2021
857,Richaun Holmes,"$5,005,350","$5,753,132",2021
858,Enes Kanter,"$5,005,350","$5,753,132",2021
859,Mike Scott,"$5,005,350","$5,753,132",2021
860,Ed Davis,"$5,005,350","$5,753,132",2021
861,Nerlens Noel,"$5,000,000","$5,746,983",2021
862,Luol Deng,"$5,000,000","$5,746,983",2021
863,Daniel Theis,"$5,000,000","$5,746,983",2021
864,Collin Sexton,"$4,991,880","$5,737,649",2021
865,Pat Connaughton,"$4,938,273","$5,676,034",2021
866,Obi Toppin,"$4,862,040","$5,588,412",2021
867,Kevon Looney,"$4,821,429","$5,541,734",2021
868,Elfrid Payton,"$4,767,000","$5,479,173",2021
869,Josh Jackson,"$4,767,000","$5,479,173",2021
870,Garrett Temple,"$4,767,000","$5,479,173",2021
871,Kris Dunn,"$4,767,000","$5,479,173",2021
872,Rui Hachimura,"$4,692,840","$5,393,934",2021
873,Denzel Valentine,"$4,642,800","$5,336,418",2021
874,Kevin Knox,"$4,588,680","$5,274,213",2021
875,DJ Wilson,"$4,548,280","$5,227,777",2021
876,Deni Avdija,"$4,469,160","$5,136,837",2021
877,Cam Reddish,"$4,458,000","$5,124,010",2021
878,TJ Leaf,"$4,431,423","$5,093,462",2021
879,Mikal Bridges,"$4,359,000","$5,010,219",2021
880,Jalen Smith,"$4,245,720","$4,880,016",2021
881,Cameron Johnson,"$4,235,160","$4,867,878",2021
882,Reggie Bullock,"$4,200,000","$4,827,465",2021
883,JaVale McGee,"$4,200,000","$4,827,465",2021
884,Shai Gilgeous-Alexander,"$4,141,320","$4,760,019",2021
885,John Collins,"$4,137,302","$4,755,400",2021
886,Willie Cauley-Stein,"$4,100,000","$4,712,526",2021
887,Devin Vassell,"$4,033,440","$4,636,022",2021
888,PJ Washington,"$4,023,600","$4,624,712",2021
889,Patrick McCaw,"$4,000,000","$4,597,586",2021
890,Dorian Finney-Smith,"$4,000,000","$4,597,586",2021
891,Alex Len,"$3,970,648","$4,563,848",2021
892,Terrance Ferguson,"$3,944,013","$4,533,235",2021
893,Miles Bridges,"$3,934,320","$4,522,094",2021
894,Austin Rivers,"$3,929,049","$4,516,035",2021
895,Jevon Carter,"$3,925,000","$4,511,381",2021
896,Jarrett Allen,"$3,909,902","$4,494,028",2021
897,Nicolo Melli,"$3,897,436","$4,479,699",2021
898,OG Anunoby,"$3,872,215","$4,450,710",2021
899,Gabriel Deck,"$3,870,370","$4,448,590",2021
900,Tyrese Haliburton,"$3,831,840","$4,404,303",2021
901,Tyler Herro,"$3,822,240","$4,393,269",2021
902,Patrick Patterson,"$3,814,771","$4,384,684",2021
903,Stanley Johnson,"$3,804,150","$4,372,477",2021
904,Jake Layman,"$3,761,085","$4,322,978",2021
905,Jerome Robinson,"$3,737,520","$4,295,892",2021
906,Danuel House,"$3,717,000","$4,272,307",2021
907,Kira Lewis,"$3,640,200","$4,184,033",2021
908,Romeo Langford,"$3,631,200","$4,173,689",2021
909,Moe Harkless,"$3,623,000","$4,164,263",2021
910,Bobby Portis,"$3,623,000","$4,164,263",2021
911,Wesley Matthews,"$3,623,000","$4,164,263",2021
912,Wayne Ellington,"$3,564,753","$4,097,314",2021
913,Kyle Kuzma,"$3,562,178","$4,094,355",2021
914,Michael Porter,"$3,550,800","$4,081,277",2021
915,Tony Bradley,"$3,542,060","$4,071,231",2021
916,Derrick White,"$3,516,284","$4,041,604",2021
917,Luca Vildoza,"$3,500,000","$4,022,888",2021
918,TJ McConnell,"$3,500,000","$4,022,888",2021
919,Boban Marjanovic,"$3,500,000","$4,022,888",2021
920,Bismack Biyombo,"$3,500,000","$4,022,888",2021
921,Josh Hart,"$3,491,159","$4,012,726",2021
922,Aaron Nesmith,"$3,458,400","$3,975,073",2021
923,Sekou Doumbouya,"$3,449,400","$3,964,728",2021
924,Dewayne Dedmon,"$3,447,478","$3,962,519",2021
925,Troy Brown,"$3,372,840","$3,876,730",2021
926,Jeff Teague,"$3,372,826","$3,876,714",2021
927,James Ennis,"$3,300,000","$3,793,008",2021
928,Michael Carter-Williams,"$3,300,000","$3,793,008",2021
929,Cole Anthony,"$3,285,120","$3,775,905",2021
930,Taj Gibson,"$3,283,684","$3,774,255",2021
931,Facundo Campazzo,"$3,200,000","$3,678,069",2021
932,Jon Leuer,"$3,169,348","$3,642,837",2021
933,Chuma Okeke,"$3,121,080","$3,587,358",2021
934,Isaiah Stewart,"$3,121,080","$3,587,358",2021
935,Nickeil Alexander-Walker,"$3,113,160","$3,578,255",2021
936,DeMarcus Cousins,"$3,051,832","$3,507,765",2021
937,Donte DiVincenzo,"$3,044,160","$3,498,947",2021
938,Khem Birch,"$3,011,499","$3,461,406",2021
939,Trey Burke,"$3,000,000","$3,448,189",2021
940,Ryan Arcidiacono,"$3,000,000","$3,448,189",2021
941,Aleksej Pokusevski,"$2,964,840","$3,407,777",2021
942,Goga Bitadze,"$2,957,520","$3,399,363",2021
943,Lonnie Walker,"$2,895,720","$3,328,330",2021
944,Ben McLemore,"$2,893,630","$3,325,927",2021
945,Andrew Nicholson,"$2,844,429","$3,269,377",2021
946,Luka Samanic,"$2,824,320","$3,246,263",2021
947,Josh Green,"$2,816,760","$3,237,574",2021
948,Kevin Huerter,"$2,761,920","$3,174,541",2021
949,Marko Guduric,"$2,750,000","$3,160,840",2021
950,Alex Caruso,"$2,750,000","$3,160,840",2021
951,Matisse Thybulle,"$2,711,280","$3,116,336",2021
952,Saddiq Bey,"$2,689,920","$3,091,784",2021
953,Josh Okogie,"$2,651,040","$3,047,096",2021
954,Vincent Poirier,"$2,619,207","$3,010,507",2021
955,Brandon Clarke,"$2,602,920","$2,991,787",2021
956,Precious Achiuwa,"$2,582,160","$2,967,925",2021
957,Carmelo Anthony,"$2,564,753","$2,947,918",2021
958,Dwight Howard,"$2,564,753","$2,947,918",2021
959,Udonis Haslem,"$2,564,753","$2,947,918",2021
960,Jared Dudley,"$2,564,753","$2,947,918",2021
961,Marc Gasol,"$2,564,753","$2,947,918",2021
962,Jose Juan Barea,"$2,564,753","$2,947,918",2021
963,Jeff Green,"$2,564,753","$2,947,918",2021
964,Grayson Allen,"$2,545,320","$2,925,582",2021
965,Grant Williams,"$2,498,760","$2,872,066",2021
966,Tyrese Maxey,"$2,478,840","$2,849,170",2021
967,Chandler Hutchison,"$2,443,440","$2,808,481",2021
968,Mfiondu Kabengele,"$2,432,353","$2,795,737",2021
969,Darius Bazley,"$2,399,160","$2,757,586",2021
970,Moritz Wagner,"$2,383,915","$2,740,063",2021
971,Zeke Nnaji,"$2,379,840","$2,735,380",2021
972,Aaron Holiday,"$2,345,640","$2,696,070",2021
973,Bryn Forbes,"$2,337,145","$2,686,306",2021
974,E'Twaun Moore,"$2,331,593","$2,679,925",2021
975,Markieff Morris,"$2,331,593","$2,679,925",2021
976,Reggie Jackson,"$2,331,593","$2,679,925",2021
977,Hassan Whiteside,"$2,320,044","$2,666,650",2021
978,Kent Bazemore,"$2,320,044","$2,666,650",2021
979,Ty Jerome,"$2,303,040","$2,647,106",2021
980,Mike Muscala,"$2,283,034","$2,624,111",2021
981,Anfernee Simons,"$2,252,040","$2,588,487",2021
982,Brad Wanamaker,"$2,250,000","$2,586,142",2021
983,Luke Kornet,"$2,250,000","$2,586,142",2021
984,Monta Ellis,"$2,245,400","$2,580,855",2021
985,Nassir Little,"$2,210,640","$2,540,902",2021
986,RJ Hampton,"$2,193,480","$2,521,178",2021
987,Matthew Dellavedova,"$2,174,318","$2,499,153",2021
988,Solomon Hill,"$2,174,318","$2,499,153",2021
989,Edmond Sumner,"$2,160,000","$2,482,696",2021
990,Anderson Varejao,"$2,141,713","$2,461,677",2021
991,Dylan Windler,"$2,137,440","$2,456,766",2021
992,Immanuel Quickley,"$2,105,520","$2,420,077",2021
993,John Konchar,"$2,100,000","$2,413,732",2021
994,Landry Shamet,"$2,090,040","$2,402,284",2021
995,Jordan Poole,"$2,063,280","$2,371,527",2021
996,Bol Bol,"$2,058,240","$2,365,734",2021
997,Keldon Johnson,"$2,048,040","$2,354,010",2021
998,Payton Pritchard,"$2,035,800","$2,339,941",2021
