,PLAYER,,Real Salary,Year
111,Jusuf Nurkic,"$12,000,000","$13,087,170",2022
111,Kelly Oubre,"$12,000,000","$13,087,170",2022
114,Josh Richardson,"$11,615,328","$12,667,648",2022
115,Marvin Bagley,"$11,312,114","$12,336,964",2022
116,DeAndre Jordan,"$11,109,327","$12,115,804",2022
117,Dwight Powell,"$11,080,125","$12,083,957",2022
118,Devonte Graham,"$11,000,000","$11,996,573",2022
119,Zion Williamson,"$10,733,400","$11,705,820",2022
120,Larry Nance Jr,"$10,690,909","$11,659,479",2022
121,Jeremy Lamb,"$10,500,000","$11,451,274",2022
122,Richaun Holmes,"$10,384,500","$11,325,310",2022
122,Reggie Jackson,"$10,384,500","$11,325,310",2022
124,Al-Farouq Aminu,"$10,335,621","$11,272,002",2022
125,Anthony Edwards,"$10,245,480","$11,173,695",2022
126,Luka Doncic,"$10,174,391","$11,096,166",2022
127,Cade Cunningham,"$10,050,120","$10,960,636",2022
128,Tomas Satoransky,"$10,000,000","$10,905,975",2022
128,Danny Green,"$10,000,000","$10,905,975",2022
130,Tristan Thompson,"$9,946,611","$10,847,749",2022
131,Kyle Anderson,"$9,937,150","$10,837,431",2022
132,Jae Crowder,"$9,720,900","$10,601,590",2022
132,Derrick Favors,"$9,720,900","$10,601,590",2022
132,Serge Ibaka,"$9,720,900","$10,601,590",2022
132,Derrick Jones,"$9,720,900","$10,601,590",2022
132,Montrezl Harrell,"$9,720,900","$10,601,590",2022
137,Ja Morant,"$9,603,360","$10,473,401",2022
138,Alec Burks,"$9,536,000","$10,399,938",2022
138,Reggie Bullock,"$9,536,000","$10,399,938",2022
140,Talen Horton-Tucker,"$9,500,000","$10,360,677",2022
141,Mason Plumlee,"$9,248,333","$10,086,209",2022
142,Jaren Jackson Jr,"$9,180,560","$10,012,296",2022
143,James Wiseman,"$9,166,800","$9,997,289",2022
144,Jalen Green,"$8,992,080","$9,806,740",2022
145,De'Anthony Melton,"$8,805,976","$9,603,776",2022
146,Royce O'Neale,"$8,800,000","$9,597,258",2022
146,Nerlens Noel,"$8,800,000","$9,597,258",2022
148,Jakob Poeltl,"$8,750,000","$9,542,728",2022
148,Maxi Kleber,"$8,750,000","$9,542,728",2022
150,Thomas Bryant,"$8,666,667","$9,451,846",2022
151,RJ Barrett,"$8,623,920","$9,405,226",2022
152,Alex Caruso,"$8,600,000","$9,379,139",2022
153,Delon Wright,"$8,526,316","$9,298,779",2022
154,Dario Saric,"$8,510,000","$9,280,985",2022
155,Monte Morris,"$8,449,074","$9,214,539",2022
156,Tyus Jones,"$8,376,286","$9,135,157",2022
157,Trae Young,"$8,326,471","$9,080,829",2022
158,Daniel Theis,"$8,280,351","$9,030,530",2022
159,LaMelo Ball,"$8,231,760","$8,977,537",2022
160,Seth Curry,"$8,207,518","$8,951,099",2022
161,JaMychal Green,"$8,200,000","$8,942,900",2022
162,Cedi Osman,"$8,133,334","$8,870,194",2022
163,Evan Mobley,"$8,075,160","$8,806,749",2022
164,De'Andre Hunter,"$7,775,400","$8,479,832",2022
165,DJ Augustin,"$7,622,467","$8,313,044",2022
166,Mo Bamba,"$7,568,743","$8,254,452",2022
167,Ivica Zubac,"$7,518,518","$8,199,677",2022
168,TJ McConnell,"$7,500,000","$8,179,481",2022
168,Rajon Rondo,"$7,500,000","$8,179,481",2022
170,Patrick Williams,"$7,422,000","$8,094,415",2022
171,Cory Joseph,"$7,310,000","$7,972,268",2022
172,Scottie Barnes,"$7,280,400","$7,939,986",2022
173,Darius Garland,"$7,040,880","$7,678,766",2022
174,Chris Boucher,"$7,020,000","$7,655,995",2022
175,Zach Collins,"$7,000,000","$7,634,183",2022
175,PJ Tucker,"$7,000,000","$7,634,183",2022
177,Wendell Carter,"$6,920,027","$7,546,964",2022
178,Juan Hernangomez,"$6,803,190","$7,419,542",2022
179,Isaac Okoro,"$6,720,720","$7,329,600",2022
180,Jalen Suggs,"$6,592,920","$7,190,222",2022
181,Cameron Payne,"$6,500,000","$7,088,884",2022
182,Joakim Noah,"$6,431,666","$7,014,359",2022
183,Jarrett Culver,"$6,395,160","$6,974,546",2022
184,Khem Birch,"$6,350,000","$6,925,294",2022
185,Collin Sexton,"$6,349,671","$6,924,935",2022
186,Onyeka Okongwu,"$6,104,280","$6,657,312",2022
187,Justin Holiday,"$6,006,420","$6,550,587",2022
188,Josh Giddey,"$5,988,000","$6,530,498",2022
189,Rudy Gay,"$5,890,000","$6,423,619",2022
189,Dennis Schroeder,"$5,890,000","$6,423,619",2022
189,Patrick Mills,"$5,890,000","$6,423,619",2022
192,Kevin Knox,"$5,845,978","$6,375,609",2022
193,Coby White,"$5,837,760","$6,366,646",2022
194,Timofey Mozgov,"$5,573,333","$6,078,263",2022
195,Killian Hayes,"$5,572,680","$6,077,551",2022
196,Mikal Bridges,"$5,557,725","$6,061,241",2022
197,Shai Gilgeous-Alexander,"$5,495,532","$5,993,413",2022
198,Jonathan Kuminga,"$5,466,360","$5,961,598",2022
199,Miles Bridges,"$5,421,493","$5,912,667",2022
200,Jaxson Hayes,"$5,348,280","$5,832,821",2022
201,Pat Connaughton,"$5,333,334","$5,816,521",2022
202,Kris Dunn,"$5,317,430","$5,799,175",2022
203,George Hill,"$5,275,491","$5,753,437",2022
204,Michael Porter,"$5,258,735","$5,735,163",2022
205,Dewayne Dedmon,"$5,256,308","$5,732,516",2022
206,Ryan Anderson,"$5,214,583","$5,687,011",2022
207,Hamidou Diallo,"$5,200,000","$5,671,107",2022
208,Kevon Looney,"$5,178,572","$5,647,738",2022
209,Troy Brown,"$5,170,564","$5,639,004",2022
210,Obi Toppin,"$5,105,160","$5,567,675",2022
211,Franz Wagner,"$5,007,840","$5,461,538",2022
212,Josh Jackson,"$5,005,350","$5,458,822",2022
213,JaVale McGee,"$5,000,000","$5,452,987",2022
213,Robin Lopez,"$5,000,000","$5,452,987",2022
213,Luol Deng,"$5,000,000","$5,452,987",2022
213,Kendrick Nunn,"$5,000,000","$5,452,987",2022
