Player,Pos,Age,Type,FROM,TO,Years,Value,Ave_Salary,Max Value,Year,Year_1,Year _2,Count Records 0,Count Records 1,Count Records 2,VORP_0,VORP_1,VORP_2,MP_0,MP_1,MP_2
Kendrick Nunn,SG,26.0,UFA,MIA,LAL,2,10250000,5125000,10250000,2021,2020,2019,0 ,0 ,,0,0,,,,
Kent Bazemore,SG,32.1,UFA,GSW,LAL,1,2401537,2401537,2401537,2021,2020,2019,0 ,0 ,,0,0,,,,
Khem Birch,C,28.8,UFA,TOR,TOR,3,20002500,6667500,20002500,2021,2020,2019,1 ,1 ,,0,-0.4,,,,
Kyle Guy,SG,24.1,UFA,SAC,CLE,1,1669178,1669178,1669178,2021,2020,2019,1 ,1 ,,-0.7,0,,,,
Kyle Lowry,PG,35.3,UFA,TOR,MIA,3,85000002,28333334,85000002,2021,2020,2019,1 ,1 ,,-0.1,-0.1,,,,
LaMarcus Aldridge,PF,36.1,UFA,BKN,BKN,1,2641691,2641691,2641691,2021,2020,2019,1 ,1 ,,0.4,0.8,,,,
Langston Galloway,SG,29.8,UFA,PHX,GSW,1,2239544,2239544,2239544,2021,2020,2019,1 ,1 ,,0.8,0.2,,,,
Lauri Markkanen,PF,24.2,RFA,CHI,CLE,4,67470906,16867727,67470906,2021,2020,2019,1 ,1 ,,2.6,2.3,,,,
Lonzo Ball,PG,23.8,RFA,NOP,CHI,4,80000000,20000000,80000000,2021,2020,2019,1 ,1 ,,0.2,0.2,,,,
Louis Williams,SG,34.8,UFA,ATL,ATL,1,5000000,5000000,5000000,2021,2020,2019,1 ,1 ,,1.5,2.8,,,,
Luke Kornet,C,26.2,UFA,BOS,BOS,1,1789256,1789256,1789256,2021,2020,2019,1 ,1 ,,0.1,-0.2,,,,
Malik Monk,SG,23.5,UFA,CHA,LAL,1,1789256,1789256,1789256,2021,2020,2019,1 ,1 ,,0.7,0,,,,
Markieff Morris,PF,31.9,UFA,LAL,MIA,1,2641691,2641691,2641691,2021,2020,2019,1 ,1 ,,0.6,0.4,,,,
Maurice Harkless,SF,28.2,UFA,SAC,SAC,2,9000000,4500000,9000000,2021,2020,2019,1 ,1 ,,0.1,-0.1,,,,
Max Strus,SG,25.3,RFA,MIA,MIA,2,3421816,1710908,3421816,2021,2020,2019,1 ,1 ,,0,1.9,,,,
Mike Conley,PG,33.8,UFA,UTH,UTH,3,68040000,22680000,68040000,2021,2020,2019,1 ,0 ,,-0.1,0,,,,
Mike Muscala,C,30.1,UFA,OKC,OKC,2,7000000,3500000,7000000,2021,2020,2019,1 ,1 ,,0.4,0.6,,,,
Moritz Wagner,C,24.2,UFA,ORL,ORL,2,3607937,1803969,3607937,2021,2020,2019,1 ,1 ,,2.6,0.8,,,,
Nate Hinton,SG,22.2,RFA,DAL,IND,1,1489065,1489065,1489065,2021,2020,2019,1 ,1 ,,0.9,2,,,,
Nemanja Bjelica,PF,33.2,UFA,MIA,GSW,1,2089448,2089448,2089448,2021,2020,2019,1 ,1 ,,0.6,0.6,,,,
Nerlens Noel,C,27.2,UFA,NYK,NYK,3,27720000,9240000,27720000,2021,2020,2019,1 ,1 ,,1.2,0.9,,,,
Nicolas Batum,SF,32.6,UFA,LAC,LAC,2,6498559,3249280,6498559,2021,2020,2019,1 ,1 ,,4.2,5.1,,,,
Norman Powell,SG,28.2,UFA,POR,POR,5,90000000,18000000,90000000,2021,2020,2019,1 ,1 ,,1.9,1.1,,,,
Omer Yurtseven,C,23.1,UFA,MIA,MIA,2,3241703,1620852,3241703,2021,2020,2019,1 ,1 ,,1.3,1.5,,,,
Otto Porter Jr.,SF,28.2,UFA,ORL,GSW,1,2389641,2389641,2389641,2021,2020,2019,1 ,1 ,,-0.1,0,,,,
P.J. Tucker,PF,36.2,UFA,MIL,MIA,2,14350000,7175000,14350000,2021,2020,2019,1 ,1 ,,0,-0.4,,,,
Patrick Patterson,PF,32.4,UFA,LAC,POR,1,2641691,2641691,2641691,2021,2020,2019,0 ,0 ,,0,0,,,,
Patty Mills,PG,32.9,UFA,SAS,BKN,2,12074500,6037250,12074500,2021,2020,2019,1 ,1 ,,0,2.6,,,,
Paul Millsap,PF,36.6,UFA,DEN,BKN,1,2641691,2641691,2641691,2021,2020,2019,1 ,1 ,,0.3,0.3,,,,
Rajon Rondo,PG,35.5,UFA,MEM,LAL,1,2641691,2641691,2641691,2021,2020,2019,1 ,1 ,,0.9,0.7,,,,
Raul Neto,PG,29.2,UFA,WAS,WAS,1,2089448,2089448,2089448,2021,2020,2019,0 ,0 ,,0,0,,,,
Reggie Bullock,SF,30.3,UFA,NYK,DAL,3,30038400,10012800,30038400,2021,2020,2019,1 ,1 ,,-0.4,0.6,,,,
Reggie Jackson,PG,31.2,UFA,LAC,LAC,2,21599760,10799880,21599760,2021,2020,2019,1 ,1 ,,0.6,0.3,,,,
Reggie Perry,C,21.4,UFA,BKN,TOR,1,1489065,1489065,1489065,2021,2020,2019,1 ,1 ,,1.1,-0.3,,,,
Richaun Holmes,C,27.8,UFA,SAC,SAC,4,46522560,11630640,46522560,2021,2020,2019,1 ,1 ,,1.3,1.4,,,,
Robin Lopez,C,33.3,UFA,WAS,ORL,1,5000000,5000000,5000000,2021,2020,2019,1 ,1 ,,-0.2,0,,,,
Rodney Hood,SF,28.8,UFA,TOR,MIL,1,2239544,2239544,2239544,2021,2020,2019,1 ,1 ,,0.1,0.8,,,,
Rudy Gay,SF,34.9,UFA,SAS,UTH,3,18553500,6184500,18553500,2021,2020,2019,1 ,1 ,,0.1,0.1,,,,
Ryan Arcidiacono,PG,27.5,UFA,CHI,BOS,1,1789256,1789256,1789256,2021,2020,2019,1 ,1 ,,0,0.3,,,,
Saben Lee,PG,22.1,RFA,DET,DET,3,5143840,1714613,5143840,2021,2020,2019,1 ,1 ,,0.6,-0.1,,,,
Sam Dekker,SF,27.2,UFA,WAS,TOR,1,1789256,1789256,1789256,2021,2020,2019,0 ,1 ,,0,-0.1,,,,
Semi Ojeleye,PF,26.7,UFA,BOS,MIL,1,1789256,1789256,1789256,2021,2020,2019,1 ,1 ,,0.1,-0.7,,,,
Shaquille Harrison,PG,27.9,UFA,DEN,PHI,1,1789256,1789256,1789256,2021,2020,2019,1 ,1 ,,0.2,0.6,,,,
Solomon Hill,SF,30.3,UFA,ATL,ATL,1,2389641,2389641,2389641,2021,2020,2019,1 ,1 ,,1.5,0.8,,,,
Spencer Dinwiddie,PG,28.3,UFA,BKN,WAS,3,54000000,18000000,54000000,2021,2020,2019,1 ,1 ,,0.4,1,,,,
Stanley Johnson,SF,25.2,UFA,TOR,CHI,1,2089448,2089448,2089448,2021,2020,2019,1 ,1 ,,-0.1,-0.5,,,,
Sterling Brown,SG,26.4,UFA,HOU,DAL,2,6000000,3000000,6000000,2021,2020,2019,1 ,1 ,,0,0.7,,,,
Sviatoslav Mykhailiuk,SF,24.2,UFA,OKC,TOR,2,3607937,1803969,3607937,2021,2020,2019,1 ,1 ,,0,0,,,,
T.J. McConnell,PG,29.3,UFA,IND,IND,4,33600000,8400000,33600000,2021,2020,2019,1 ,1 ,,-1.5,-0.8,,,,
Tacko Fall,C,25.7,UFA,BOS,CLE,1,1669178,1669178,1669178,2021,2020,2019,1 ,1 ,,0,-0.2,,,,
Taj Gibson,PF,36.1,UFA,NYK,NYK,2,10065500,5032750,10065500,2021,2020,2019,1 ,1 ,,-0.1,0.2,,,,
Talen Horton-Tucker,SG,20.7,RFA,LAL,LAL,3,30780000,10260000,30780000,2021,2020,2019,1 ,1 ,,0.1,0.7,,,,
Terence Davis,SG,24.2,RFA,SAC,SAC,2,8000000,4000000,8000000,2021,2020,2019,1 ,1 ,,0.6,0.5,,,,
Thanasis Antetokounmpo,SF,29.0,UFA,MIL,MIL,2,3607937,1803969,3607937,2021,2020,2019,1 ,1 ,,0.3,0.3,,,,
Theo Pinson,SG,25.8,UFA,NYK,BOS,1,1729217,1729217,1729217,2021,2020,2019,1 ,1 ,,1.2,0.3,,,,
Tim Hardaway Jr.,SG,29.3,UFA,DAL,DAL,4,75000000,18750000,75000000,2021,2020,2019,1 ,1 ,,0.9,1.5,,,,
Timothe Luwawu-Cabarrot,SG,26.3,UFA,BKN,ATL,1,1939350,1939350,1939350,2021,2020,2019,1 ,1 ,,0.4,0.1,,,,
Tony Bradley,C,23.6,UFA,OKC,CHI,2,3825574,1912787,3825574,2021,2020,2019,1 ,1 ,,0,-0.1,,,,
Tony Snell,SG,29.8,UFA,ATL,POR,1,2389641,2389641,2389641,2021,2020,2019,1 ,1 ,,-0.2,0.1,,,,
Torrey Craig,SF,30.7,UFA,PHX,IND,2,10000000,5000000,10000000,2021,2020,2019,1 ,1 ,,0.1,0.5,,,,
Tremont Waters,PG,23.6,UFA,BOS,MIL,1,1669178,1669178,1669178,2021,2020,2019,1 ,1 ,,1,2.9,,,,
Trevor Ariza,SF,36.1,UFA,MIA,LAL,1,2641691,2641691,2641691,2021,2020,2019,1 ,1 ,,0.9,0.3,,,,
Trey Lyles,PF,25.8,UFA,SAS,DET,2,5125000,2562500,5125000,2021,2020,2019,1 ,1 ,,0.2,-0.5,,,,
Tyler Cook,PF,23.9,UFA,DET,CHI,1,1669178,1669178,1669178,2021,2020,2019,1 ,1 ,,0,-0.1,,,,
Udonis Haslem,PF,41.2,UFA,MIA,MIA,1,2641691,2641691,2641691,2021,2020,2019,1 ,1 ,,0.4,0.2,,,,
Victor Oladipo,SG,29.2,UFA,MIA,MIA,1,2389641,2389641,2389641,2021,2020,2019,1 ,1 ,,0,1.9,,,,
Wayne Ellington,SG,33.7,UFA,DET,LAL,1,2641691,2641691,2641691,2021,2020,2019,1 ,0 ,,-0.2,0,,,,
Will Barton,SG,30.6,UFA,DEN,DEN,2,3000000,1500000,3000000,2021,2020,2019,1 ,1 ,,1.9,0,,,,
Willy Hernangomez,C,27.2,UFA,NOP,NOP,3,7330743,2443581,7330743,2021,2020,2019,1 ,1 ,,0.1,0.3,,,,
Zach Collins,C,23.7,UFA,POR,SAS,3,22050000,7350000,22050000,2021,2020,2019,1 ,1 ,,0.1,-0.7,,,,
