Unnamed: 0,PLAYER,Unnamed: 2,Real Salary,Year,New Player Name,Count Records,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional
,,,,2019,Aaron Gordon,1.0,Aaron Gordon,PF,23.0,ORL,78.0,2633.0,15.1,0.538,0.332,0.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,0.093,0.3,0.3,0.6,1.7,gordoaa01
,,,,2020,Aaron Gordon,1.0,Aaron Gordon,PF,24.0,ORL,62.0,2017.0,15.1,0.516,0.309,0.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,0.087,-0.1,0.1,0,1.0,gordoaa01
,,,,2021,Aaron Gordon,1.0,Aaron Gordon,PF,25.0,TOT,50.0,1384.0,14.5,0.547,0.353,0.299,6.0,16.4,11.1,17.8,1.2,2.3,14.7,20.7,0.7,1.2,1.9,0.066,0.2,-0.1,0.1,0.7,gordoaa01
,,,,2022,Aaron Gordon,1.0,Aaron Gordon,PF,26.0,DEN,75.0,2376.0,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2.0,5.2,0.105,0.5,-1.1,-0.6,0.9,gordoaa01
,,,,2022,Aaron Henry,1.0,Aaron Henry,SF,22.0,PHI,6.0,17.0,-7.4,0.2,0.2,0.0,0.0,6.5,3.3,0.0,0.0,10.6,28.6,18.5,-0.1,0.0,-0.1,-0.306,-14.0,-2.4,-16.5,-0.1,henryaa01
,,,,2019,Aaron Holiday,1.0,Aaron Holiday,PG,22.0,IND,50.0,646.0,11.9,0.518,0.485,0.191,0.9,10.4,5.8,19.3,1.6,1.8,12.3,21.9,0.1,0.8,0.9,0.065,-1.7,0.1,-1.6,0.1,holidaa01
,,,,2020,Aaron Holiday,1.0,Aaron Holiday,PG,23.0,IND,66.0,1617.0,11.6,0.521,0.393,0.155,1.5,9.0,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,0.063,-1.6,0,-1.6,0.2,holidaa01
,,,,2021,Aaron Holiday,1.0,Aaron Holiday,PG,24.0,IND,66.0,1176.0,9.2,0.503,0.417,0.19,1.4,6.8,4.1,14.0,1.8,0.9,12.3,19.5,-0.6,0.8,0.2,0.009,-3.3,-0.9,-4.2,-0.7,holidaa01
,,,,2022,Aaron Holiday,1.0,Aaron Holiday,PG,25.0,TOT,63.0,1021.0,12.6,0.544,0.305,0.201,2.6,10.3,6.5,20.7,2.0,0.7,15.4,18.7,0.5,0.9,1.5,0.068,-1.9,0.3,-1.7,0.1,holidaa01
,,,,2021,Aaron Nesmith,1.0,Aaron Nesmith,SF,21.0,BOS,46.0,669.0,9.4,0.573,0.607,0.157,4.6,16.6,10.6,4.6,1.1,1.3,10.8,13.7,0.5,0.6,1.1,0.076,-2.8,-0.4,-3.2,-0.2,nesmiaa01
,,,,2022,Aaron Nesmith,1.0,Aaron Nesmith,SF,22.0,BOS,52.0,574.0,7.3,0.507,0.632,0.143,2.9,13.6,8.4,5.4,1.7,0.8,13.8,17.2,-0.4,0.9,0.4,0.038,-4.9,0.7,-4.3,-0.3,nesmiaa01
,,,,2022,Aaron Wiggins,1.0,Aaron Wiggins,SG,23.0,OKC,50.0,1209.0,10.3,0.556,0.409,0.252,4.3,11.0,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,1.2,0.048,-3.4,-0.9,-4.3,-0.7,wiggiaa01
,,,,2019,Abdel Nader,1.0,Abdel Nader,SF,25.0,OKC,61.0,694.0,8.8,0.522,0.465,0.167,2.0,15.7,8.6,3.8,1.3,1.5,10.1,15.1,0.0,0.9,0.9,0.062,-3.6,0.3,-3.2,-0.2,naderab01
,,,,2020,Abdel Nader,1.0,Abdel Nader,SF,26.0,OKC,55.0,867.0,11.3,0.591,0.487,0.251,1.8,10.6,6.4,6.4,1.3,2.0,12.8,17.0,0.5,0.9,1.3,0.074,-1.2,0.2,-1,0.2,naderab01
,,,,2021,Abdel Nader,1.0,Abdel Nader,SF,27.0,PHO,24.0,355.0,13.4,0.605,0.371,0.319,2.3,17.3,9.9,7.3,1.4,2.3,12.6,19.0,0.3,0.4,0.7,0.095,-1.0,1,0,0.2,naderab01
,,,,2022,Abdel Nader,1.0,Abdel Nader,SF,28.0,PHO,14.0,145.0,4.9,0.431,0.4,0.286,3.0,16.6,10.0,5.9,2.7,2.5,21.8,15.0,-0.3,0.3,0.0,-0.009,-7.1,2.2,-5,-0.1,naderab01
,,,,2020,Adam Mokoka,1.0,Adam Mokoka,SF,21.0,CHI,11.0,112.0,8.2,0.538,0.536,0.143,6.6,3.1,4.9,5.0,1.7,0.0,6.3,12.1,0.1,0.1,0.2,0.073,-2.9,-1.2,-4.1,-0.1,mokokad01
,,,,2021,Adam Mokoka,1.0,Adam Mokoka,SG,22.0,CHI,14.0,56.0,2.2,0.386,0.526,0.053,2.0,7.8,4.9,11.9,1.7,1.6,20.5,18.9,-0.2,0.1,-0.1,-0.112,-7.7,-1.6,-9.3,-0.1,mokokad01
,,,,2022,Ade Murkey,1.0,Ade Murkey,SG,24.0,SAC,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017,-7.4,-2.3,-9.7,0.0,murkead01,,,
,,,,2020,Admiral Schofield,1.0,Admiral Schofield,PF,22.0,WAS,33.0,368.0,6.1,0.502,0.663,0.163,2.0,12.4,7.0,5.3,1.0,0.9,6.6,11.9,0.1,0.1,0.1,0.017,-4.3,-1.2,-5.5,-0.3,schofad01
,,,,2022,Admiral Schofield,1.0,Admiral Schofield,SF,24.0,ORL,38.0,469.0,7.5,0.538,0.612,0.116,3.8,16.3,10.0,7.9,0.4,1.0,13.4,14.5,-0.1,0.3,0.3,0.027,-4.2,-1.2,-5.4,-0.4,schofad01
,,,,2022,Ahmad Caver,1.0,Ahmad Caver,SG,25.0,IND,1.0,1.0,76.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,0.0,0.0,1.204,31.0,5.9,36.9,0.0,caverah01
,,,,2019,Al Horford,1.0,Al Horford,C,32.0,BOS,68.0,1973.0,20.2,0.605,0.281,0.131,6.5,18.3,12.4,21.2,1.4,3.9,11.8,18.9,4.5,2.9,7.5,0.181,3.3,1.9,5.1,3.6,horfoal01
,,,,2020,Al Horford,1.0,Al Horford,C,33.0,PHI,67.0,2025.0,15.7,0.536,0.399,0.113,5.6,19.3,12.4,19.2,1.2,2.6,9.7,17.5,2.8,2.6,5.4,0.128,1.3,1,2.2,2.2,horfoal01
,,,,2021,Al Horford,1.0,Al Horford,C,34.0,OKC,28.0,782.0,17.4,0.538,0.422,0.061,3.8,21.4,12.5,20.1,1.5,2.9,7.3,21.6,0.8,0.9,1.6,0.101,2.0,1.4,3.4,1.1,horfoal01
,,,,2022,Al Horford,1.0,Al Horford,C,35.0,BOS,69.0,2005.0,16.7,0.574,0.466,0.167,6.0,22.2,14.3,16.4,1.2,4.2,9.6,14.8,3.7,3.8,7.6,0.181,1.4,2.9,4.3,3.2,horfoal01
,,,,2019,Al-Farouq Aminu,1.0,Al-Farouq Aminu,PF,28.0,POR,81.0,2292.0,13.2,0.568,0.472,0.292,5.3,22.6,14.2,6.0,1.4,1.2,9.7,13.7,3.0,2.8,5.8,0.121,0.1,0.6,0.7,1.5,aminual01
,,,,2020,Al-Farouq Aminu,1.0,Al-Farouq Aminu,PF,29.0,ORL,18.0,380.0,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.014,-4.4,1.4,-3,-0.1,aminual01
,,,,2021,Al-Farouq Aminu,1.0,Al-Farouq Aminu,PF,30.0,TOT,23.0,434.0,8.9,0.469,0.374,0.222,5.1,21.9,13.3,10.1,2.1,1.9,20.5,13.6,-0.4,0.5,0.1,0.01,-4.9,1.1,-3.8,-0.2,aminual01
,,,,2019,Alan Williams,1.0,Alan Williams,PF,26.0,BRK,5.0,26.0,32.9,0.61,0.077,0.308,16.2,60.3,38.4,22.3,1.8,0.0,6.3,25.5,0.1,0.1,0.2,0.312,7.6,4.2,11.8,0.1,willial03
,,,,2019,Alec Burks,1.0,Alec Burks,SG,27.0,TOT,64.0,1375.0,12.7,0.523,0.354,0.297,2.3,17.0,9.4,13.7,1.4,1.3,10.8,19.0,0.7,0.8,1.5,0.052,-0.6,-0.7,-1.2,0.3,burksal01
,,,,2020,Alec Burks,1.0,Alec Burks,SF-SG,28.0,TOT,66.0,1754.0,16.7,0.561,0.392,0.345,2.9,14.9,8.7,17.2,1.7,0.9,9.3,23.8,2.5,1.2,3.7,0.101,1.2,-0.7,0.5,1.1,burksal01
,,,,2021,Alec Burks,1.0,Alec Burks,SG,29.0,NYK,49.0,1255.0,14.8,0.564,0.492,0.236,1.8,17.6,9.8,13.2,1.2,1.1,8.2,21.3,1.5,1.8,3.3,0.126,0.9,0.6,1.5,1.1,burksal01
,,,,2022,Alec Burks,1.0,Alec Burks,SG,30.0,NYK,81.0,2318.0,13.7,0.559,0.534,0.363,2.1,16.6,9.2,15.7,1.8,1.1,9.7,17.7,3.2,2.9,6.1,0.126,-0.4,1.2,0.8,1.7,burksal01
,,,,2022,Aleem Ford,1.0,Aleem Ford,SF,24.0,ORL,5.0,74.0,0.5,0.35,0.75,0.0,2.8,18.6,10.7,3.8,0.7,0.0,16.7,14.0,-0.2,0.1,-0.2,-0.103,-9.1,-2.2,-11.4,-0.2,fordal03
,,,,2021,Aleksej Pokusevski,1.0,Aleksej Pokusevski,PF,19.0,OKC,45.0,1090.0,6.1,0.43,0.507,0.103,2.8,17.6,10.1,13.1,0.9,3.4,18.8,20.5,-2.9,1.0,-1.9,-0.084,-5.1,-1,-6.1,-1.1,pokusal01
,,,,2022,Aleksej Pokusevski,1.0,Aleksej Pokusevski,PF,20.0,OKC,61.0,1233.0,12.0,0.485,0.432,0.11,6.0,20.8,13.3,16.5,1.5,2.9,16.4,20.0,-1.1,1.5,0.4,0.014,-2.7,0.1,-2.6,-0.2,pokusal01
,,,,2020,Alen Smailagić,1.0,Alen Smailagić,C,19.0,GSW,14.0,139.0,14.5,0.61,0.325,0.475,7.5,13.7,10.5,14.3,1.0,2.6,18.5,18.2,0.2,0.1,0.2,0.081,-1.5,-0.7,-2.2,0.0,smailal01
,,,,2021,Alen Smailagić,1.0,Alen Smailagić,PF,20.0,GSW,15.0,84.0,8.9,0.472,0.37,0.222,7.7,12.5,10.1,6.5,1.7,5.2,14.4,17.6,-0.1,0.1,0.0,0.015,-4.9,-0.4,-5.3,-0.1,smailal01
,,,,2019,Alex Caruso,1.0,Alex Caruso,PG,24.0,LAL,25.0,531.0,13.9,0.569,0.289,0.37,4.0,9.0,6.5,19.7,2.1,1.4,17.3,19.0,0.5,0.6,1.0,0.093,-1.0,0.7,-0.2,0.2,carusal01
,,,,2020,Alex Caruso,1.0,Alex Caruso,PG,25.0,LAL,64.0,1175.0,10.8,0.525,0.412,0.323,1.6,9.8,5.7,13.6,2.8,1.4,13.8,13.8,0.5,1.8,2.3,0.095,-2.6,2.4,-0.2,0.5,carusal01
,,,,2021,Alex Caruso,1.0,Alex Caruso,PG,26.0,LAL,58.0,1216.0,11.1,0.547,0.449,0.249,2.9,12.8,7.9,18.1,2.6,1.1,18.3,14.8,0.3,2.1,2.4,0.095,-2.5,2.5,0,0.6,carusal01
,,,,2022,Alex Caruso,1.0,Alex Caruso,SG,27.0,CHI,41.0,1147.0,11.7,0.528,0.492,0.285,3.3,11.2,7.3,18.5,3.0,1.1,16.5,13.3,0.7,1.2,2.0,0.082,-2.2,2.3,0.2,0.6,carusal01
,,,,2019,Alex Len,1.0,Alex Len,C,25.0,ATL,77.0,1544.0,17.2,0.575,0.315,0.333,10.5,18.5,14.4,8.6,0.8,3.9,11.5,22.1,2.2,1.0,3.2,0.1,0.0,-1.3,-1.2,0.3,lenal01
,,,,2020,Alex Len,1.0,Alex Len,C,26.0,TOT,55.0,970.0,17.7,0.6,0.185,0.329,11.1,25.2,18.0,7.9,1.1,4.3,13.1,18.1,1.5,1.0,2.5,0.122,-0.5,-0.3,-0.7,0.3,lenal01
,,,,2021,Alex Len,1.0,Alex Len,C,27.0,TOT,64.0,979.0,16.4,0.643,0.09,0.417,8.5,19.7,14.1,7.0,0.9,5.6,14.3,16.3,1.5,1.3,2.7,0.133,-1.2,1,-0.1,0.5,lenal01
,,,,2022,Alex Len,1.0,Alex Len,C,28.0,SAC,39.0,620.0,13.1,0.577,0.119,0.358,9.0,19.3,14.1,10.6,1.0,3.5,17.4,17.1,0.4,0.5,0.9,0.07,-3.2,0.3,-2.9,-0.1,lenal01
,,,,2019,Alex Poythress,1.0,Alex Poythress,PF,25.0,ATL,21.0,305.0,12.2,0.571,0.284,0.358,9.8,16.6,13.1,7.7,0.6,2.8,12.2,14.2,0.4,0.2,0.5,0.086,-2.5,-1,-3.5,-0.1,poythal01
,,,,2019,Alfonzo McKinnie,1.0,Alfonzo McKinnie,SF,26.0,GSW,72.0,1003.0,11.2,0.569,0.429,0.175,9.0,16.9,13.1,4.0,0.9,1.3,9.2,13.9,1.2,0.9,2.1,0.1,-2.2,-1.3,-3.5,-0.4,mckinal01
,,,,2020,Alfonzo McKinnie,1.0,Alfonzo McKinnie,SF,27.0,CLE,40.0,593.0,8.7,0.493,0.38,0.181,6.9,14.4,10.6,3.3,1.9,1.2,12.3,15.2,-0.2,0.3,0.2,0.014,-4.4,-0.9,-5.3,-0.5,mckinal01
,,,,2021,Alfonzo McKinnie,1.0,Alfonzo McKinnie,SF,28.0,LAL,39.0,258.0,15.5,0.604,0.419,0.194,9.6,13.9,11.8,3.6,1.3,0.0,4.7,17.8,0.5,0.3,0.8,0.156,0.3,-0.8,-0.4,0.1,mckinal01
,,,,2022,Alfonzo McKinnie,1.0,Alfonzo McKinnie,SF,29.0,CHI,17.0,206.0,5.6,0.457,0.443,0.131,7.1,10.9,9.0,3.2,0.5,1.3,9.8,15.3,-0.2,0.1,-0.1,-0.015,-5.6,-3.4,-9,-0.4,mckinal01
,,,,2019,Alize Johnson,1.0,Alize Johnson,PF,22.0,IND,14.0,64.0,6.3,0.333,0.125,0.5,7.1,25.5,16.5,2.0,0.8,4.2,0.0,13.3,-0.1,0.1,0.0,0.027,-5.7,-2,-7.7,-0.1,johnsal02
,,,,2020,Alize Johnson,1.0,Alize Johnson,PF,23.0,IND,17.0,118.0,13.3,0.509,0.276,0.345,15.0,29.4,22.3,7.7,1.2,1.5,17.3,15.0,0.1,0.2,0.3,0.111,-1.8,0.2,-1.6,0.0,johnsal02
,,,,2021,Alize Johnson,1.0,Alize Johnson,PF,24.0,BRK,18.0,189.0,23.5,0.638,0.088,0.191,16.6,35.0,26.3,10.9,1.3,2.3,10.9,19.1,0.6,0.3,0.9,0.227,2.7,0,2.7,0.2,johnsal02
,,,,2022,Alize Johnson,1.0,Alize Johnson,PF,25.0,TOT,23.0,167.0,10.7,0.463,0.103,0.308,18.8,22.1,20.4,7.1,1.5,0.0,21.3,14.8,0.0,0.1,0.1,0.041,-3.6,-1.8,-5.5,-0.1,johnsal02
,,,,2019,Allen Crabbe,1.0,Allen Crabbe,SG,26.0,BRK,43.0,1133.0,7.7,0.519,0.694,0.15,1.5,12.2,6.9,5.8,1.0,0.9,10.4,16.4,-0.2,1.0,0.8,0.035,-2.4,-0.4,-2.8,-0.2,crabbal01
,,,,2020,Allen Crabbe,1.0,Allen Crabbe,SG-SF,27.0,TOT,37.0,653.0,6.0,0.47,0.672,0.079,1.8,11.0,6.3,6.8,1.1,0.5,8.5,12.7,-0.2,0.2,-0.1,-0.007,-3.7,-1.5,-5.3,-0.5,crabbal01
,,,,2019,Allonzo Trier,1.0,Allonzo Trier,SG,23.0,NYK,64.0,1459.0,12.2,0.564,0.255,0.431,2.2,12.2,7.1,12.9,0.9,0.8,15.8,21.5,0.4,0.5,0.9,0.03,-1.6,-1.5,-3.1,-0.4,trieral01
,,,,2020,Allonzo Trier,1.0,Allonzo Trier,SG,24.0,NYK,24.0,291.0,14.5,0.62,0.5,0.406,2.1,8.7,5.3,14.8,0.5,1.3,15.0,21.4,0.5,0.1,0.5,0.087,1.0,-1.4,-0.4,0.1,trieral01
,,,,2022,Alperen Şengün,1.0,Alperen Şengün,C,19.0,HOU,72.0,1489.0,16.0,0.552,0.223,0.442,10.1,18.9,14.5,19.1,1.9,4.1,18.8,22.0,0.8,1.3,2.1,0.068,-1.6,0.6,-1,0.4,sengual01
,,,,2021,Amida Brimah,1.0,Amida Brimah,C,26.0,IND,5.0,29.0,16.6,0.697,0.0,0.375,7.5,22.3,15.0,4.8,0.0,14.0,30.0,19.6,0.0,0.1,0.0,0.073,-6.2,1.4,-4.8,0.0,brimaam01
,,,,2019,Amile Jefferson,1.0,Amile Jefferson,PF,25.0,ORL,12.0,68.0,21.1,0.692,0.0,0.5,9.3,24.0,16.5,6.4,2.2,3.7,4.9,13.1,0.2,0.1,0.4,0.258,0.5,2,2.5,0.1,jeffeam01
,,,,2020,Amile Jefferson,1.0,Amile Jefferson,PF,26.0,ORL,18.0,74.0,8.9,0.372,0.0,1.0,14.1,19.5,16.7,7.2,0.7,3.7,13.0,13.5,0.0,0.1,0.0,0.023,-4.8,-1,-5.8,-0.1,jeffeam01
,,,,2020,Amir Coffey,1.0,Amir Coffey,SG,22.0,LAC,18.0,159.0,8.5,0.493,0.352,0.204,2.7,7.6,5.2,12.3,1.5,1.1,12.0,17.6,0.0,0.2,0.1,0.041,-4.3,0.1,-4.1,-0.1,coffeam01
,,,,2021,Amir Coffey,1.0,Amir Coffey,SG,23.0,LAC,44.0,394.0,10.1,0.585,0.544,0.369,2.9,9.4,6.3,7.4,1.3,0.0,11.1,15.1,0.4,0.3,0.7,0.085,-1.9,-0.1,-2,0.0,coffeam01
,,,,2022,Amir Coffey,1.0,Amir Coffey,SG,24.0,LAC,69.0,1567.0,13.0,0.598,0.545,0.251,1.8,11.2,6.7,11.4,1.2,0.8,8.0,15.8,2.3,1.5,3.8,0.116,-0.3,0,-0.3,0.7,coffeam01
,,,,2019,Amir Johnson,1.0,Amir Johnson,C,31.0,PHI,51.0,529.0,13.1,0.574,0.255,0.261,9.7,19.5,14.7,16.0,1.4,1.9,20.5,17.4,0.4,0.7,1.1,0.098,-2.9,0.6,-2.3,0.0,johnsam01
,,,,2021,Anderson Varejão,1.0,Anderson Varejão,C,38.0,CLE,5.0,36.0,12.9,0.326,0.063,0.563,21.3,41.4,31.1,12.2,0.0,5.0,4.8,25.4,-0.1,0.0,0.0,-0.029,-3.7,-3.3,-7.1,0.0,varejan01
,,,,2019,Andre Drummond,1.0,Andre Drummond,C,25.0,DET,79.0,2647.0,23.4,0.555,0.036,0.392,16.8,34.7,25.4,7.2,2.5,4.4,12.4,22.9,4.1,5.9,10.0,0.181,1.3,0.8,2.1,2.7,drumman01
,,,,2020,Andre Drummond,1.0,Andre Drummond,C,26.0,TOT,57.0,1879.0,22.0,0.553,0.045,0.375,14.9,37.5,26.0,13.6,2.8,4.2,18.2,25.9,0.6,3.6,4.2,0.108,-0.1,1.1,0.9,1.4,drumman01
,,,,2021,Andre Drummond,1.0,Andre Drummond,C,27.0,TOT,46.0,1242.0,19.4,0.519,0.014,0.358,14.8,35.2,24.9,13.2,2.5,3.5,15.8,27.6,-0.6,2.5,2.0,0.077,-1.7,0.5,-1.2,0.3,drumman01
,,,,2022,Andre Drummond,1.0,Andre Drummond,C,28.0,TOT,73.0,1437.0,21.0,0.574,0.007,0.379,18.0,34.1,26.2,13.7,2.7,4.2,18.5,19.0,2.0,3.1,5.1,0.17,-0.1,1.4,1.3,1.2,drumman01
,,,,2019,Andre Iguodala,1.0,Andre Iguodala,SF,35.0,GSW,68.0,1578.0,13.1,0.587,0.477,0.222,3.4,13.2,8.5,16.8,1.8,2.7,13.6,10.4,2.4,1.8,4.2,0.129,0.1,1.7,1.8,1.5,iguodan01
,,,,2020,Andre Iguodala,1.0,Andre Iguodala,SF,36.0,MIA,21.0,418.0,10.5,0.507,0.534,0.17,4.7,15.7,10.4,16.9,1.6,5.0,21.6,12.7,0.0,0.6,0.6,0.065,-1.9,1.4,-0.5,0.2,iguodan01
,,,,2021,Andre Iguodala,1.0,Andre Iguodala,SF,37.0,MIA,63.0,1339.0,9.2,0.519,0.734,0.153,3.3,15.4,9.4,14.3,2.1,2.7,20.2,11.2,-0.1,1.8,1.7,0.062,-2.2,1.8,-0.4,0.5,iguodan01
,,,,2022,Andre Iguodala,1.0,Andre Iguodala,SF,38.0,GSW,31.0,603.0,12.3,0.478,0.612,0.165,3.9,13.9,9.1,24.7,2.2,3.5,17.7,11.4,0.5,1.1,1.6,0.125,-0.9,3.7,2.7,0.7,iguodan01
,,,,2019,Andre Ingram,1.0,Andre Ingram,SG,33.0,LAL,4.0,15.0,-11.9,0.0,0.5,0.0,7.0,6.7,6.9,0.0,3.1,0.0,14.3,19.3,-0.1,0.0,-0.1,-0.408,-14.8,-4.8,-19.6,-0.1,ingraan01
,,,,2020,Andre Roberson,1.0,Andre Roberson,SF,28.0,OKC,7.0,87.0,5.4,0.335,0.483,0.069,9.2,24.7,17.1,6.3,0.6,3.0,6.3,16.1,-0.1,0.1,0.0,-0.017,-5.2,-0.2,-5.4,-0.1,roberan03
,,,,2021,Andre Roberson,1.0,Andre Roberson,SG,29.0,BRK,5.0,63.0,4.2,0.202,0.571,0.143,12.9,13.3,13.2,7.4,2.3,1.4,11.8,11.7,-0.1,0.1,-0.1,-0.043,-5.2,-0.9,-6.1,-0.1,roberan03
,,,,2019,Andrew Bogut,1.0,Andrew Bogut,C,34.0,GSW,11.0,134.0,13.4,0.523,0.0,0.083,10.0,32.8,21.9,10.6,1.1,5.0,17.7,14.5,0.1,0.2,0.3,0.111,-3.7,0.8,-2.9,0.0,bogutan01
,,,,2019,Andrew Harrison,1.0,Andrew Harrison,PG,24.0,TOT,17.0,187.0,5.8,0.443,0.472,0.34,3.4,8.5,5.8,17.1,1.1,0.9,16.5,16.8,-0.1,0.0,-0.1,-0.027,-5.8,-1.2,-7.1,-0.2,harrian01
,,,,2019,Andrew Wiggins,1.0,Andrew Wiggins,SF,23.0,MIN,73.0,2543.0,12.4,0.493,0.288,0.245,3.5,11.4,7.4,10.9,1.3,1.6,9.3,24.4,-0.6,1.3,0.6,0.012,-1.2,-1.8,-3,-0.6,wiggian01
,,,,2020,Andrew Wiggins,1.0,Andrew Wiggins,SF,24.0,TOT,54.0,1858.0,16.4,0.536,0.342,0.274,3.6,12.3,7.8,18.1,1.1,2.4,10.7,27.4,0.8,1.1,1.9,0.05,1.1,-1.4,-0.3,0.8,wiggian01
,,,,2021,Andrew Wiggins,1.0,Andrew Wiggins,PF,25.0,GSW,71.0,2364.0,15.0,0.568,0.348,0.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,1.2,2.7,3.9,0.08,0.0,-0.4,-0.4,1.0,wiggian01
,,,,2022,Andrew Wiggins,1.0,Andrew Wiggins,SF,26.0,GSW,73.0,2329.0,15.0,0.56,0.392,0.231,4.1,10.9,7.6,10.8,1.6,2.1,9.0,23.1,1.8,3.4,5.1,0.105,0.3,0.1,0.4,1.4,wiggian01
,,,,2019,Anfernee Simons,1.0,Anfernee Simons,SG,19.0,POR,20.0,141.0,11.1,0.535,0.46,0.254,2.3,7.4,4.9,13.7,0.3,0.0,13.6,24.3,0.0,0.0,0.1,0.02,-1.5,-3.7,-5.3,-0.1,simonan01
,,,,2020,Anfernee Simons,1.0,Anfernee Simons,SG,20.0,POR,70.0,1449.0,9.0,0.502,0.422,0.172,1.8,9.1,5.5,9.2,0.9,0.6,9.6,18.7,0.0,0.1,0.2,0.005,-2.6,-1.9,-4.5,-0.9,simonan01
,,,,2021,Anfernee Simons,1.0,Anfernee Simons,SG,21.0,POR,64.0,1104.0,12.3,0.589,0.703,0.142,1.3,12.5,6.8,11.4,0.8,0.6,9.2,18.3,1.5,0.3,1.8,0.078,0.6,-1.6,-1,0.3,simonan01
,,,,2022,Anfernee Simons,1.0,Anfernee Simons,SG,22.0,POR,57.0,1681.0,15.3,0.583,0.555,0.146,1.6,8.5,4.9,22.2,0.9,0.4,11.9,24.8,2.0,-0.1,1.9,0.055,1.9,-2.7,-0.7,0.5,simonan01
,,,,2019,Ante Žižić,1.0,Ante Žižić,C,22.0,CLE,59.0,1082.0,16.2,0.59,0.0,0.399,10.6,22.8,16.4,7.7,0.6,1.8,13.6,18.2,1.7,0.3,2.0,0.087,-1.1,-2.1,-3.2,-0.3,zizican01
,,,,2020,Ante Žižić,1.0,Ante Žižić,C,23.0,CLE,22.0,221.0,16.4,0.597,0.0,0.264,9.0,24.4,16.6,4.2,1.5,1.9,11.1,17.5,0.3,0.2,0.5,0.106,-1.7,-1.5,-3.2,-0.1,zizican01
,,,,2019,Anthony Davis,1.0,Anthony Davis,C,25.0,NOP,56.0,1850.0,30.3,0.597,0.141,0.422,9.9,27.5,18.8,19.0,2.2,6.0,8.4,29.5,6.4,3.1,9.5,0.247,7.1,2.3,9.4,5.3,davisan02
,,,,2020,Anthony Davis,1.0,Anthony Davis,PF,26.0,LAL,62.0,2131.0,27.4,0.61,0.199,0.479,7.4,22.1,14.8,15.1,2.0,6.0,10.4,29.3,6.7,4.4,11.1,0.25,5.4,2.6,8,5.4,davisan02
,,,,2021,Anthony Davis,1.0,Anthony Davis,PF,27.0,LAL,36.0,1162.0,22.1,0.556,0.163,0.349,6.0,21.5,13.8,16.4,1.9,4.5,9.5,29.2,1.3,2.4,3.7,0.152,2.6,2.2,4.8,2.0,davisan02
,,,,2022,Anthony Davis,1.0,Anthony Davis,C,28.0,LAL,40.0,1404.0,23.9,0.578,0.101,0.351,8.1,22.0,15.1,14.7,1.7,5.7,9.3,27.1,2.6,2.0,4.5,0.155,2.6,1.2,3.8,2.0,davisan02
,,,,2021,Anthony Edwards,1.0,Anthony Edwards,SG,19.0,MIN,72.0,2314.0,13.9,0.523,0.429,0.225,2.7,13.5,7.9,14.6,1.7,1.3,10.7,27.0,-0.6,1.4,0.8,0.017,-0.4,-1.7,-2.1,-0.1,edwaran01
,,,,2022,Anthony Edwards,1.0,Anthony Edwards,SG,20.0,MIN,72.0,2466.0,16.5,0.56,0.484,0.225,2.6,12.5,7.5,17.4,2.0,1.8,12.2,26.4,1.8,2.4,4.3,0.084,1.6,-0.4,1.2,2.0,edwaran01
,,,,2021,Anthony Gill,1.0,Anthony Gill,PF,28.0,WAS,26.0,218.0,13.7,0.597,0.4,0.267,7.8,17.0,12.4,6.7,2.1,1.5,10.7,14.2,0.3,0.3,0.6,0.123,-1.6,0.3,-1.3,0.0,gillan01
,,,,2022,Anthony Gill,1.0,Anthony Gill,PF,29.0,WAS,44.0,463.0,14.7,0.682,0.239,0.477,8.0,12.2,10.2,8.3,0.5,2.0,12.0,14.4,1.1,0.2,1.4,0.14,-0.6,-1.3,-1.9,0.0,gillan01
,,,,2021,Anthony Lamb,1.0,Anthony Lamb,SF,23.0,HOU,24.0,415.0,8.7,0.523,0.602,0.178,6.7,11.5,9.0,7.9,0.7,1.1,13.0,15.0,0.1,0.1,0.2,0.023,-3.4,-2.7,-6.1,-0.4,lamban01
