Unnamed: 0,PLAYER,Unnamed: 2,Real Salary,Year,New Player Name,Count Records,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional
,,,,2019,Jamal Murray,1.0,Jamal Murray,PG,21.0,DEN,75.0,2447.0,16.0,0.538,0.353,0.19,2.9,11.2,7.0,22.4,1.3,1.0,11.1,24.9,2.8,2.3,5.1,0.1,1.4,-0.8,0.6,1.6,murraja01
,,,,2020,Jamal Murray,1.0,Jamal Murray,PG,22.0,DEN,59.0,1904.0,17.7,0.559,0.362,0.207,2.7,11.2,6.9,22.9,1.7,0.8,11.5,25.2,2.8,1.5,4.3,0.107,2.0,-0.8,1.2,1.5,murraja01
,,,,2021,Jamal Murray,1.0,Jamal Murray,PG,23.0,DEN,48.0,1704.0,18.3,0.592,0.399,0.193,2.5,10.4,6.5,20.3,1.9,0.7,11.2,24.8,3.1,1.5,4.6,0.129,2.7,-0.7,2,1.7,murraja01
,,,,2022,James Bouknight,1.0,James Bouknight,SG,21.0,CHO,31.0,304.0,10.1,0.459,0.348,0.22,7.6,10.6,9.1,11.9,1.1,0.3,8.8,23.7,-0.1,0.1,0.0,0.001,-3.4,-3.7,-7.1,-0.4,bouknja01
,,,,2019,James Ennis III,1.0,James Ennis III,SF,28.0,TOT,58.0,1230.0,11.0,0.59,0.531,0.276,5.3,10.9,8.1,4.7,1.6,1.6,9.3,12.7,1.6,1.0,2.6,0.103,-1.4,-0.2,-1.5,0.1,ennisja01
,,,,2020,James Ennis III,1.0,James Ennis III,SF-SG,29.0,TOT,69.0,1265.0,11.5,0.565,0.471,0.273,6.1,15.3,10.6,7.0,1.3,1.5,12.6,15.7,1.0,1.4,2.4,0.09,-2.2,-0.4,-2.6,-0.2,ennisja01
,,,,2021,James Ennis III,1.0,James Ennis III,SF,30.0,ORL,41.0,986.0,12.5,0.613,0.428,0.358,4.4,13.4,8.7,9.3,1.6,0.6,11.3,13.9,1.3,0.7,2.0,0.097,-1.9,-0.3,-2.2,-0.1,ennisja01
,,,,2022,James Ennis III,1.0,James Ennis III,SF,31.0,TOT,7.0,56.0,17.7,0.553,0.333,0.208,9.9,13.1,11.6,7.4,1.7,3.1,7.1,22.0,0.1,0.1,0.1,0.114,-0.1,-1,-1.1,0.0,ennisja01
,,,,2019,James Harden,1.0,James Harden,PG,29.0,HOU,78.0,2867.0,30.6,0.616,0.539,0.449,2.5,17.8,10.0,39.5,2.7,1.7,14.5,40.5,11.4,3.8,15.2,0.254,9.4,1.6,11,9.3,hardeja01
,,,,2020,James Harden,1.0,James Harden,SG,30.0,HOU,68.0,2483.0,29.1,0.626,0.557,0.528,2.9,16.0,9.4,35.9,2.3,2.1,14.2,36.3,9.9,3.2,13.1,0.254,8.1,1.6,9.6,7.3,hardeja01
