Rk,Player,2021/22,2021/22
69,Terry Rozier,$17.905.263,$19.527.436
70,Ricky Rubio,$17.800.000,$19.412.636
71,Clint Capela,$17.603.448,$19.198.277
72,Caris LeVert,$17.500.000,$19.085.457
73,Jonathan Isaac,$17.400.000,$18.976.397
74,Joe Harris,$17.357.143,$18.929.658
75,Evan Fournier,$17.142.857,$18.695.958
76,Steven Adams,$17.073.171,$18.619.958
77,Markelle Fultz,$16.500.000,$17.994.860
78,Aaron Gordon,$16.409.091,$17.895.714
79,Gary Trent Jr,$16.225.000,$17.694.945
80,OG Anunoby,$16.071.429,$17.527.461
81,Davis Bertans,$16.000.000,$17.449.561
82,Lauri Markkanen,$15.690.909,$17.112.467
83,Derrick White,$15.678.571,$17.099.011
84,Duncan Robinson,$15.650.000,$17.067.852
85,Marcus Morris,$15.627.907,$17.043.757
86,Will Barton,$15.625.000,$17.040.587
87,Norman Powell,$15.517.242,$16.923.066
88,Dejounte Murray,$15.428.880,$16.826.699
89,Malik Beasley,$14.491.964,$15.804.900
90,Patrick Beverley,$14.320.987,$15.618.433
91,Thaddeus Young,$14.190.000,$15.475.579
92,Jonas Valanciunas,$14.000.000,$15.268.366
93,Marcus Smart,$13.839.285,$15.093.090
94,Doug McDermott,$13.750.000,$14.995.716
95,Christian Wood,$13.666.667,$14.904.833
96,Derrick Rose,$13.445.120,$14.663.215
97,Luke Kennard,$13.347.727,$14.556.998
98,Taurean Prince,$13.334.375,$14.542.437
99,Brook Lopez,$13.302.325,$14.507.483
100,Kentavious Caldwell-Pope,$13.038.862,$14.220.151
101,Joe Ingles,$13.036.364,$14.217.427
102,Kyle Kuzma,$13.000.000,$14.177.768
103,Robert Covington,$12.975.471,$14.151.017
104,TJ Warren,$12.940.000,$14.112.332
105,Deandre Ayton,$12.632.950,$13.777.464
106,Terrence Ross,$12.500.000,$13.632.469
107,Jordan Clarkson,$12.420.000,$13.545.221
108,Dillon Brooks,$12.200.000,$13.305.290
109,Kelly Olynyk,$12.195.122,$13.299.970
110,Nicolas Batum,$12.026.998,$13.116.613
111,Josh Hart,$12.000.000,$13.087.170
111,Jusuf Nurkic,$12.000.000,$13.087.170
111,Kelly Oubre,$12.000.000,$13.087.170
114,Josh Richardson,$11.615.328,$12.667.648
115,Marvin Bagley,$11.312.114,$12.336.964
116,DeAndre Jordan,$11.109.327,$12.115.804
117,Dwight Powell,$11.080.125,$12.083.957
118,Devonte Graham,$11.000.000,$11.996.573
119,Zion Williamson,$10.733.400,$11.705.820
120,Larry Nance Jr,$10.690.909,$11.659.479
121,Jeremy Lamb,$10.500.000,$11.451.274
122,Richaun Holmes,$10.384.500,$11.325.310
122,Reggie Jackson,$10.384.500,$11.325.310
124,Al-Farouq Aminu,$10.335.621,$11.272.002
125,Anthony Edwards,$10.245.480,$11.173.695
126,Luka Doncic,$10.174.391,$11.096.166
127,Cade Cunningham,$10.050.120,$10.960.636
128,Tomas Satoransky,$10.000.000,$10.905.975
128,Danny Green,$10.000.000,$10.905.975
130,Tristan Thompson,$9.946.611,$10.847.749
131,Kyle Anderson,$9.937.150,$10.837.431
132,Jae Crowder,$9.720.900,$10.601.590
132,Derrick Favors,$9.720.900,$10.601.590
132,Serge Ibaka,$9.720.900,$10.601.590
132,Derrick Jones,$9.720.900,$10.601.590
132,Montrezl Harrell,$9.720.900,$10.601.590
137,Ja Morant,$9.603.360,$10.473.401
138,Alec Burks,$9.536.000,$10.399.938
138,Reggie Bullock,$9.536.000,$10.399.938
140,Talen Horton-Tucker,$9.500.000,$10.360.677
141,Mason Plumlee,$9.248.333,$10.086.209
142,Jaren Jackson Jr,$9.180.560,$10.012.296
143,James Wiseman,$9.166.800,$9.997.289
144,Jalen Green,$8.992.080,$9.806.740
145,De'Anthony Melton,$8.805.976,$9.603.776
146,Royce O'Neale,$8.800.000,$9.597.258
146,Nerlens Noel,$8.800.000,$9.597.258
148,Jakob Poeltl,$8.750.000,$9.542.728
148,Maxi Kleber,$8.750.000,$9.542.728
150,Thomas Bryant,$8.666.667,$9.451.846
151,RJ Barrett,$8.623.920,$9.405.226
152,Alex Caruso,$8.600.000,$9.379.139
153,Delon Wright,$8.526.316,$9.298.779
154,Dario Saric,$8.510.000,$9.280.985
155,Monte Morris,$8.449.074,$9.214.539
156,Tyus Jones,$8.376.286,$9.135.157
157,Trae Young,$8.326.471,$9.080.829
158,Daniel Theis,$8.280.351,$9.030.530
159,LaMelo Ball,$8.231.760,$8.977.537
160,Seth Curry,$8.207.518,$8.951.099
161,JaMychal Green,$8.200.000,$8.942.900
162,Cedi Osman,$8.133.334,$8.870.194
163,Evan Mobley,$8.075.160,$8.806.749
164,De'Andre Hunter,$7.775.400,$8.479.832
165,DJ Augustin,$7.622.467,$8.313.044
166,Mo Bamba,$7.568.743,$8.254.452
167,Ivica Zubac,$7.518.518,$8.199.677
168,TJ McConnell,$7.500.000,$8.179.481
168,Rajon Rondo,$7.500.000,$8.179.481
170,Patrick Williams,$7.422.000,$8.094.415
171,Cory Joseph,$7.310.000,$7.972.268
172,Scottie Barnes,$7.280.400,$7.939.986
173,Darius Garland,$7.040.880,$7.678.766
174,Chris Boucher,$7.020.000,$7.655.995
175,Zach Collins,$7.000.000,$7.634.183
175,PJ Tucker,$7.000.000,$7.634.183
177,Wendell Carter,$6.920.027,$7.546.964
178,Juan Hernangomez,$6.803.190,$7.419.542
179,Isaac Okoro,$6.720.720,$7.329.600
180,Jalen Suggs,$6.592.920,$7.190.222
181,Cameron Payne,$6.500.000,$7.088.884
182,Joakim Noah,$6.431.666,$7.014.359
183,Jarrett Culver,$6.395.160,$6.974.546
184,Khem Birch,$6.350.000,$6.925.294
185,Collin Sexton,$6.349.671,$6.924.935
186,Onyeka Okongwu,$6.104.280,$6.657.312
187,Justin Holiday,$6.006.420,$6.550.587
188,Josh Giddey,$5.988.000,$6.530.498
189,Rudy Gay,$5.890.000,$6.423.619
189,Dennis Schroeder,$5.890.000,$6.423.619
