Player,Pos,Age,Type,FROM,TO,Years,Value,Ave Salary,Max Value,Year,Year_1,Year _2,Count Records 0,Count Records 1,Count Records 2,VORP_0,VORP_1,VORP_1,MP_0,MP_1,MP_2
Troy Brown Jr.,SF,22.9>,UFA,CHI,LAL,1,"$1,968,185 ","$1,968,185 ","$1,968,185 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,-0.3,0.3,-1.8,-4,-1.2
Chris Chiozza,PG,26.8>,UFA,GSW,BKN,1,"$1,968,175 ","$1,968,175 ","$1,968,175 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.4,0.1,0.1,-6,-0.7,-1.2
Yuta Watanabe,SF,27.8>,UFA,TOR,BKN,1,"$1,968,175 ","$1,968,175 ","$1,968,175 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0,0.2,0,-2,-0.7,-1.7
Drew Eubanks,PF,25.4>,UFA,POR,POR,1,"$1,968,175 ","$1,968,175 ","$1,968,175 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.2,0.4,0,-1.4,0,-1.8
Aaron Holiday,PG,25.8>,UFA,PHX,ATL,1,"$1,968,175 ","$1,968,175 ","$1,968,175 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,-0.7,0.2,-1.7,-4.2,-1.6
Theo Pinson,SG,26.7>,RFA,DAL,DAL,1,"$1,968,175 ","$1,968,175 ","$1,968,175 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,-0.1,-0.5,-0.5,-15.7,-7
Josh Okogie,SF,23.8>,UFA,MIN,PHX,1,"$1,968,175 ","$1,968,175 ","$1,968,175 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,-0.4,-0.2,-2.7,-3.3,-2.4
Tyler Cook,PF,25.0>,UFA,CHI,UTH,1,"$1,902,133 ","$1,902,133 ","$1,902,133 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,-0.1,0,-4.1,-3,-0.2
Mychal Mulder,G,28.2>,UFA,MIA,MIA,1,"$1,902,133 ","$1,902,133 ","$1,902,133 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.3,0,-0.2,-7.7,-1.8,-6
Devontae Cacok,C,25.8>,UFA,SAS,POR,1,"$1,902,133 ","$1,902,133 ","$1,902,133 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.2,0,0,4.2,-1,0.2
Moses Brown,C,22.7>,UFA,CLE,LAC,1,"$1,902,133 ","$1,902,133 ","$1,902,133 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,-0.1,-0.1,-3.3,-2.4,-10
Rayjon Tucker,SF,24.8>,UFA,MIL,MIL,1,"$1,902,133 ","$1,902,133 ","$1,902,133 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,0,-0.2,3.5,-3.4,-6.1
Juan Toscano-Anderson,SF,29.2>,UFA,GSW,LAL,1,"$1,902,133 ","$1,902,133 ","$1,902,133 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.3,0.8,-0.1,-0.8,0.8,-3.6
Facundo Campazzo,PG,31.5>,UFA,DEN,DAL,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0.4,0.5,0,-0.8,-0.6,0
Elijah Hughes,SF,24.6>,UFA,POR,MIL,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,-0.5,0,0,-6.9,-2.8,0
Skylar Mays,SG,25.1>,UFA,ATL,PHI,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0,0.3,0,-2,1.9,0
Jay Scrubb,SG,22.1>,UFA,LAC,ORL,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,-0.1,-0.2,0,-4.8,-10.9,0
Malik Fitts,PF,25.2>,UFA,IND,LAC,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0,0,0,-1.1,-9.1,0
Anthony Lamb,SF,24.7>,UFA,HOU,GSW,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0,-0.4,0,-8,-6.1,0
Robert Woodard II,SG,23.0>,UFA,SAS,OKC,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,-0.1,0,0,-10.4,-5.3,0
Brodric Thomas,G,2022.8>,RFA,BOS,BOS,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0,-0.2,0,-2.8,-4.4,0
Nate Hinton,SG,23.2>,UFA,IND,CLE,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0,0,0,-42.6,-3.4,0
CJ Elleby,SF,22.1>,UFA,POR,MIN,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,-1,-0.1,0,-5.3,-4.9,0
Luca Vildoza,PG,26.8>,UFA,MIL,MIL,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,0 ,0 ,0 ,0,0,0,0,0,0
David Johnson,PG,21.6>,RFA,TOR,TOR,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,0,0,0,-27.7,0,0
Matt Ryan,SF,25.4>,UFA,BOS,LAL,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,0,0,0,-13.7,0,0
Sharife Cooper,PG,21.2>,RFA,ATL,CLE,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,-0.1,0,0,-16.3,0,0
Gabe York,SG,29.1>,UFA,IND,IND,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,0,0,0,-1.5,0,0
Jamorko Pickett,SF,24.7>,UFA,DET,CLE,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,-0.1,0,0,-5,0,0
McKinley Wright IV,PG,23.8>,UFA,MIN,DAL,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,0,0,0,-4.2,0,0
Xavier Moon,SG,27.5>,UFA,LAC,LAC,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,0.1,0,0,-0.1,0,0
Lindell Wigginton,SG,24.2>,UFA,MIL,MIL,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,-0.2,0,0,-5,0,0
