RK,Player,2020/21,2020/21(*)
172,Lauri Markkanen,6731508,7737172
173,Darius Garland,6720720,7724772
174,DJ Augustin,6666667,7662644
175,Trae Young,6571800,7553604
176,Chris Boucher,6500000,7471078
177,Juan Hernangomez,6493000,7463032
178,Joakim Noah,6431666,7392535
179,Isaac Okoro,6400920,7357195
180,Frank Ntilikina,6176578,7099337
181,DeMarre Carroll,6119676,7033934
182,Jarrett Culver,6104280,7016238
183,Ishmael Smith,6000000,6896379
183,Alec Burks,6000000,6896379
185,Mo Bamba,5969040,6860794
186,Onyeka Okongwu,5813640,6682178
187,Justin Holiday,5720400,6575008
188,Dennis Smith,5686677,6536247
189,Avery Bradley,5635000,6476849
190,Timofey Mozgov,5573333,6405970
191,Coby White,5572680,6405219
192,Trey Lyles,5500000,6321681
193,Wendell Carter,5448840,6262878
194,Zach Collins,5406255,6213931
195,Malik Monk,5345687,6144314
196,Killian Hayes,5307120,6099985
197,Luke Kennard,5273826,6061717
198,Ryan Anderson,5214583,5993624
199,Donovan Mitchell,5195501,5971691
200,Rodney McGruder,5192307,5968020
201,Bam Adebayo,5115492,5879729
202,Justin Jackson,5109637,5872998
203,Jaxson Hayes,5105160,5867853
204,Richaun Holmes,5005350,5753132
204,Enes Kanter,5005350,5753132
204,Mike Scott,5005350,5753132
204,Ed Davis,5005350,5753132
208,Nerlens Noel,5000000,5746983
208,Luol Deng,5000000,5746983
208,Daniel Theis,5000000,5746983
211,Collin Sexton,4991880,5737649
212,Pat Connaughton,4938273,5676034
213,Obi Toppin,4862040,5588412
214,Kevon Looney,4821429,5541734
215,Elfrid Payton,4767000,5479173
215,Josh Jackson,4767000,5479173
215,Garrett Temple,4767000,5479173
215,Kris Dunn,4767000,5479173
219,Rui Hachimura,4692840,5393934
220,Denzel Valentine,4642800,5336418
221,Kevin Knox,4588680,5274213
222,DJ Wilson,4548280,5227777
223,Deni Avdija,4469160,5136837
224,Cam Reddish,4458000,5124010
225,TJ Leaf,4431423,5093462
226,Mikal Bridges,4359000,5010219
227,Jalen Smith,4245720,4880016
228,Cameron Johnson,4235160,4867878
229,Reggie Bullock,4200000,4827465
229,JaVale McGee,4200000,4827465
231,Shai Gilgeous-Alexander,4141320,4760019
232,John Collins,4137302,4755400
233,Willie Cauley-Stein,4100000,4712526
234,Devin Vassell,4033440,4636022
235,PJ Washington,4023600,4624712
236,Patrick McCaw,4000000,4597586
236,Dorian Finney-Smith,4000000,4597586
238,Alex Len,3970648,4563848
239,Terrance Ferguson,3944013,4533235
240,Miles Bridges,3934320,4522094
241,Austin Rivers,3929049,4516035
242,Jevon Carter,3925000,4511381
243,Jarrett Allen,3909902,4494028
244,Nicolo Melli,3897436,4479699
245,OG Anunoby,3872215,4450710
246,Gabriel Deck,3870370,4448590
247,Tyrese Haliburton,3831840,4404303
248,Tyler Herro,3822240,4393269
